purchase_detail_id,purchase_id,sell_id,purchase_det_number,purchase_det_price,purchase_det_state
206,67,10657,3,23000,2
207,68,8939,2,28000,2
208,68,8949,1,22000,2
209,68,12828,2,35000,2
210,69,3334,1,22000,2
211,69,3093,3,32000,2
212,69,13534,3,18000,2
213,69,3279,1,25000,1
214,70,12815,3,18000,1
215,70,8728,2,27000,1
216,70,8703,1,18000,1
217,71,11631,3,22000,1
218,71,1939,3,20000,2
219,71,13437,2,37000,2
220,71,11629,2,35000,2
221,72,5521,1,18000,1
222,72,5727,2,37000,1
223,72,5858,2,18000,2
224,72,13732,1,23000,1
225,73,14102,2,32000,2
226,73,10554,3,23000,2
227,73,10233,3,23000,2
228,74,14352,2,23000,2
229,74,2145,2,23000,2
230,74,14348,3,18000,2
231,74,2045,1,23000,2
232,74,2080,3,23000,2
233,75,114,1,18000,2
234,75,197,3,27000,2
235,75,2,1,35000,2
236,75,38,2,28000,2
237,76,3673,2,23000,2
238,76,3520,1,23000,2
239,76,11953,3,27000,1
240,77,2317,3,18000,1
241,77,2319,3,30000,2
242,77,2389,1,35000,2
243,77,2413,3,33000,2
244,78,7215,2,37000,1
245,78,7216,3,33000,2
246,78,6927,1,22000,2
247,78,7045,2,22000,1
248,78,7086,1,32000,2
249,79,6290,2,25000,1
250,80,9600,3,30000,2
251,80,14039,1,23000,2
252,81,10223,1,30000,2
253,81,10716,3,32000,2
254,81,10666,1,25000,1
255,81,10425,2,23000,2
256,81,10228,3,22000,2
257,82,13964,1,30000,2
258,82,8660,1,30000,2
259,82,8804,3,25000,2
260,82,8795,2,18000,2
261,83,1301,1,32000,2
262,84,8728,3,27000,2
263,84,8647,3,22000,2
264,84,8802,2,18000,2
265,85,9775,1,30000,2
266,85,9768,2,33000,2
267,85,9764,1,18000,2
268,86,10165,2,33000,1
269,86,9883,3,23000,2
270,86,9926,1,33000,2
271,87,2269,2,18000,1
272,87,2382,3,18000,2
273,87,2294,3,22000,2
274,87,11767,3,20000,2
275,87,13469,2,20000,2
276,88,2981,1,20000,1
277,88,2615,2,28000,2
278,89,8708,3,18000,1
279,89,8790,3,27000,2
280,89,8770,1,30000,2
281,90,7134,1,30000,2
282,90,7011,2,32000,2
283,90,6980,1,33000,2
284,90,7010,2,25000,2
285,91,5588,3,28000,2
286,91,12286,2,35000,2
287,91,5831,1,18000,2
288,91,5680,2,18000,1
289,91,5670,2,32000,2
290,92,879,1,30000,2
291,93,9877,2,20000,2
292,94,2357,2,27000,2
293,94,2415,1,25000,2
294,95,1087,2,30000,2
295,95,1189,3,25000,2
296,96,6495,3,28000,2
297,97,8752,3,18000,2
298,97,8722,1,20000,1
299,97,8772,2,30000,2
300,97,8805,1,33000,2
301,97,8733,2,35000,2
302,98,12962,2,23000,2
303,98,9522,1,32000,1
304,98,14022,3,27000,2
305,98,9419,1,30000,2
306,98,9537,2,18000,2
307,99,3463,3,33000,2
308,99,3428,2,23000,2
309,99,3373,1,20000,2
310,100,1754,3,23000,2
311,100,11692,1,37000,2
312,100,14333,1,23000,1
313,100,1996,2,27000,2
314,100,11616,2,33000,2
315,101,13843,1,25000,2
316,102,11255,2,22000,2
317,102,13242,1,35000,1
318,102,11122,1,22000,2
319,103,6257,3,32000,1
320,103,6294,2,35000,2
321,103,6266,3,33000,2
322,103,12376,3,18000,2
323,104,2706,2,30000,1
324,104,11797,1,22000,2
325,104,2707,2,18000,2
326,105,1040,2,32000,2
327,105,1286,2,25000,2
328,106,3241,1,35000,2
329,106,11895,3,18000,2
330,106,3356,3,32000,2
331,106,3376,1,20000,2
332,107,6149,3,18000,1
333,107,6219,1,33000,2
334,107,13765,3,25000,2
335,107,6276,1,33000,1
336,107,6218,3,20000,2
337,108,3582,3,33000,2
338,108,3669,2,33000,1
339,108,3662,1,32000,2
340,109,7376,1,32000,1
341,110,1904,3,33000,2
342,110,1989,1,32000,2
343,110,1444,1,37000,2
344,110,1562,1,32000,1
345,110,1662,2,28000,2
346,111,12333,3,28000,2
347,111,5607,3,22000,2
348,111,5540,1,18000,2
349,111,5561,3,33000,1
350,111,14632,2,35000,1
351,112,14268,1,22000,2
352,112,969,1,22000,2
353,112,1265,3,35000,2
354,112,941,1,20000,2
355,113,8234,2,28000,2
356,113,8586,3,22000,2
357,113,8399,3,18000,1
358,113,8581,3,22000,2
359,114,98,1,27000,2
360,114,76,1,20000,2
361,114,190,3,32000,2
362,114,26,2,30000,1
363,114,12,1,20000,2
364,115,1481,3,25000,2
365,115,1685,3,23000,1
366,115,1582,1,37000,1
367,115,1948,1,23000,2
368,115,1590,1,33000,2
369,116,7729,3,18000,2
370,116,8089,2,30000,1
371,116,8031,2,18000,2
372,116,7767,2,32000,2
373,116,8042,2,33000,2
374,117,12247,2,33000,2
375,117,5245,1,20000,2
376,117,5135,2,27000,1
377,117,14610,2,35000,2
378,118,14208,3,22000,2
379,118,13280,2,27000,2
380,118,286,1,28000,2
381,118,11433,2,28000,2
382,119,225,3,28000,2
383,119,20,3,33000,2
384,119,91,2,28000,1
385,119,213,1,22000,2
386,119,191,2,22000,2
387,120,14655,3,23000,1
388,120,5631,1,33000,1
389,120,5552,2,20000,2
390,121,3513,2,33000,2
391,122,9451,3,22000,2
392,122,9409,1,28000,2
393,122,9703,1,20000,2
394,122,14935,1,20000,2
395,123,487,3,22000,2
396,123,13300,1,37000,2
397,124,13645,3,33000,2
398,124,4368,1,35000,2
399,124,4492,3,32000,2
400,124,4513,3,18000,2
401,124,12123,2,33000,2
402,125,11812,2,27000,2
403,126,11304,1,20000,2
404,126,13213,1,35000,2
405,126,10879,3,20000,2
406,126,11067,3,27000,2
407,127,8894,2,32000,2
408,127,13983,3,22000,2
409,127,8936,3,32000,2
410,128,8739,1,30000,2
411,128,8718,1,33000,2
412,128,8662,3,33000,1
413,129,7179,1,20000,1
414,129,6901,1,30000,2
415,130,8981,3,18000,1
416,131,6680,3,30000,2
417,131,6552,3,20000,2
418,131,6581,3,18000,2
419,131,6758,1,35000,2
420,132,8874,3,27000,2
421,132,8826,2,30000,2
422,132,8831,3,27000,2
423,132,13983,1,22000,2
424,133,3188,2,30000,2
425,133,11904,1,27000,2
426,133,3386,2,22000,2
427,133,14435,1,32000,2
428,134,2329,1,35000,2
429,134,2472,3,37000,2
430,134,14364,2,32000,2
431,134,2342,2,27000,2
432,134,14373,2,33000,2
433,135,12788,1,35000,1
434,135,8717,1,32000,1
435,135,8736,1,25000,2
436,135,13972,2,30000,2
437,136,1559,3,22000,2
438,136,1540,2,35000,2
439,136,11621,2,18000,2
440,136,1698,1,28000,2
441,137,6812,2,35000,1
442,137,6533,2,20000,1
443,137,6706,3,37000,2
444,138,1239,2,20000,2
445,138,1010,1,20000,2
446,138,1366,3,22000,2
447,139,14352,3,23000,1
448,139,2069,2,20000,2
449,139,11728,2,30000,2
450,139,2193,1,22000,2
451,140,6721,2,20000,1
452,141,14911,2,30000,1
453,141,9018,1,30000,1
454,141,9327,1,35000,2
455,142,4467,2,27000,2
456,142,14536,2,28000,2
457,142,4550,3,20000,2
458,142,4443,3,18000,2
459,142,4843,3,30000,2
460,143,6011,2,30000,2
461,144,12533,2,35000,2
462,144,7183,2,32000,1
463,145,3195,2,20000,1
464,145,3116,1,37000,2
465,145,14444,3,30000,2
466,145,14432,1,28000,2
467,145,3378,1,25000,2
468,146,10737,3,25000,2
469,146,10592,3,30000,2
470,147,8618,3,35000,2
471,147,13972,1,30000,2
472,147,13967,1,35000,2
473,147,8819,1,25000,1
474,148,3016,3,37000,2
475,148,2559,2,23000,2
476,148,2900,1,20000,2
477,149,5247,3,30000,2
478,149,5171,3,23000,2
479,149,14609,1,35000,2
480,149,5454,2,37000,2
481,149,12237,3,30000,2
482,150,331,3,22000,2
483,150,417,2,30000,2
484,150,442,1,30000,2
485,150,11428,2,37000,2
486,150,366,1,28000,1
487,151,2353,2,20000,1
488,152,2534,1,32000,2
489,153,1099,1,35000,2
490,154,3151,2,35000,1
491,154,14437,2,30000,2
492,154,3290,3,33000,1
493,155,7335,2,28000,2
494,155,7520,2,25000,2
495,155,7299,1,27000,2
496,155,7379,2,18000,2
497,156,14644,3,32000,2
498,157,9661,3,22000,2
499,158,12402,1,35000,1
500,158,6141,1,27000,1
501,158,6205,1,35000,2
502,158,6342,2,23000,2
503,158,6204,3,18000,2
504,159,137,2,27000,1
505,159,11386,1,23000,2
506,159,13261,3,32000,2
507,159,68,1,27000,2
508,159,115,2,37000,2
509,160,11698,2,23000,2
510,160,1516,3,23000,2
511,160,1751,1,18000,2
512,160,1709,1,20000,2
513,160,1515,1,28000,2
514,161,14741,3,30000,2
515,161,12489,2,35000,1
516,162,3106,3,28000,2
517,162,3365,1,30000,2
518,162,3433,2,32000,1
519,162,3429,2,23000,2
520,163,13320,3,35000,2
521,163,755,2,25000,2
522,163,14225,2,35000,2
523,164,2186,2,28000,2
524,164,11727,1,23000,2
525,164,11712,1,33000,2
526,164,2121,2,28000,2
527,164,2199,1,37000,2
528,165,6805,1,20000,2
529,165,13816,3,27000,2
530,165,6530,3,30000,1
531,166,12675,1,23000,1
532,166,8115,2,28000,1
533,166,7649,3,33000,1
534,166,8086,2,27000,2
535,167,5654,2,18000,2
536,167,5627,1,25000,2
537,167,5730,2,23000,2
538,168,3379,3,30000,2
539,168,11901,2,33000,2
540,168,3171,3,25000,2
541,168,3143,1,28000,2
542,169,11207,1,22000,2
543,169,13184,3,28000,2
544,169,13223,1,32000,2
545,169,11101,2,32000,2
546,170,2124,1,33000,2
547,170,2249,1,25000,2
548,170,2132,2,28000,1
549,171,8665,1,35000,2
550,171,8763,2,35000,1
551,171,14879,2,30000,2
552,171,8816,1,23000,2
553,172,1290,2,32000,2
554,172,1107,1,23000,2
555,173,3464,2,20000,2
556,174,13008,1,33000,2
557,175,637,1,20000,1
558,175,807,1,27000,1
559,175,723,2,28000,2
560,175,11508,2,33000,2
561,175,803,2,37000,2
562,176,11476,3,18000,2
563,177,3644,1,25000,1
564,177,13565,2,20000,2
565,177,3610,3,27000,2
566,177,3515,3,27000,1
567,177,3619,3,25000,1
568,178,191,2,22000,2
569,178,28,2,27000,1
570,178,52,1,18000,2
571,178,99,2,30000,2
572,178,141,1,18000,2
573,179,15048,2,27000,2
574,179,11291,1,22000,2
575,179,11025,2,35000,2
576,179,11035,3,37000,1
577,180,2750,3,35000,1
578,180,2648,3,22000,2
579,181,5189,1,18000,2
580,181,5203,2,27000,2
581,181,5364,1,27000,2
582,182,3485,1,18000,1
583,183,14370,3,28000,1
584,183,2350,1,33000,1
585,183,2420,3,20000,2
586,184,9743,1,18000,2
587,185,13237,3,27000,2
588,186,26,1,30000,1
589,186,11408,2,22000,2
590,186,181,2,20000,2
591,187,9733,3,18000,2
592,187,9769,2,22000,2
593,187,9784,2,27000,2
594,187,9765,2,22000,1
595,188,9777,1,22000,2
596,189,14202,2,32000,2
597,189,58,1,18000,2
598,189,14197,2,23000,2
599,189,21,2,30000,2
600,190,14966,1,32000,1
601,190,9736,1,23000,2
602,190,9799,2,33000,2
603,191,7290,3,35000,2
604,191,12590,3,27000,2
605,191,7352,1,18000,2
606,191,14804,1,37000,1
607,192,5780,3,32000,2
608,192,5510,1,25000,1
609,192,12293,1,27000,2
610,192,5636,1,18000,1
611,192,5549,3,28000,2
612,193,2709,3,32000,2
613,193,2624,3,23000,2
614,193,13488,3,20000,2
615,194,3677,2,23000,2
616,194,13574,2,18000,2
617,195,9883,3,23000,2
618,195,14972,3,37000,2
619,195,13031,2,23000,2
620,195,14066,1,35000,2
621,196,2644,2,25000,2
622,196,2787,1,32000,2
623,196,3069,2,33000,2
624,196,11868,2,27000,2
625,196,14385,2,32000,2
626,197,6432,2,23000,2
627,197,6179,1,33000,2
628,197,6318,1,22000,2
629,198,913,3,32000,1
630,198,904,2,20000,2
631,199,2052,1,25000,2
632,199,2136,3,35000,2
633,199,2158,1,22000,2
634,199,2149,2,25000,2
635,199,2096,3,27000,1
636,200,10569,1,23000,2
637,200,10655,1,32000,1
638,200,10217,1,22000,1
639,201,8944,3,22000,2
640,202,12827,3,25000,1
641,202,12836,2,22000,2
642,202,8936,3,32000,2
643,202,8845,2,18000,2
644,203,945,1,22000,2
645,203,837,2,22000,1
646,203,1053,3,28000,2
647,204,871,1,28000,2
648,205,378,1,30000,2
649,205,340,3,37000,1
650,205,11424,2,18000,2
651,205,321,1,20000,2
652,205,395,1,30000,2
653,206,14645,2,25000,2
654,206,5759,1,32000,2
655,207,2752,3,35000,2
656,207,2818,3,27000,2
657,207,2548,2,22000,2
658,207,2565,2,32000,2
659,207,3073,1,32000,2
660,208,13710,1,33000,1
661,209,9687,2,20000,2
662,210,356,2,18000,2
663,210,395,1,30000,2
664,211,9767,2,32000,1
665,211,9792,1,22000,2
666,212,12980,3,25000,2
667,212,9771,3,27000,2
668,212,9761,3,37000,2
669,212,9781,2,30000,2
670,213,366,2,28000,2
671,213,13285,3,25000,2
672,213,11420,3,22000,2
673,213,13288,3,25000,1
674,213,287,2,23000,2
675,214,3866,3,27000,2
676,214,12061,2,23000,1
677,214,4064,3,28000,2
678,214,4233,2,35000,2
679,215,12892,3,30000,2
680,215,9154,2,22000,2
681,216,5698,2,33000,1
682,216,5656,2,23000,2
683,216,5829,1,20000,2
684,216,14643,1,22000,2
685,217,2308,1,25000,1
686,217,2389,3,35000,2
687,218,3561,3,20000,2
688,218,3513,3,33000,2
689,218,3591,3,33000,2
690,219,3674,2,20000,2
691,220,9077,1,33000,2
692,220,14920,3,20000,2
693,220,9269,1,25000,2
694,221,48,3,37000,1
695,221,107,3,33000,2
696,222,13083,3,20000,1
697,222,10706,3,32000,1
698,222,10735,3,30000,2
699,222,10334,3,20000,2
700,222,10690,3,25000,2
701,223,11046,2,23000,2
702,224,9919,2,27000,2
703,225,3248,3,30000,2
704,226,2473,2,28000,2
705,226,2434,1,20000,2
706,226,2444,2,20000,2
707,226,2449,2,23000,2
708,227,13165,1,33000,2
709,228,9936,3,18000,2
710,228,9947,1,30000,1
711,229,8365,2,27000,1
712,229,8417,3,25000,1
713,229,8598,1,28000,1
714,229,8282,3,20000,2
715,230,11468,1,22000,2
716,230,821,2,37000,2
717,230,720,3,27000,2
718,231,7410,3,23000,2
719,231,7500,2,35000,2
720,231,7356,2,18000,2
721,232,2431,3,33000,1
722,232,2371,1,22000,2
723,232,13460,3,25000,2
724,232,2364,1,28000,2
725,232,14366,2,22000,1
726,233,2568,2,25000,2
727,233,2516,1,20000,1
728,233,2991,3,18000,2
729,234,11493,3,20000,2
730,234,511,2,25000,2
731,234,724,2,22000,2
732,234,508,1,25000,2
733,235,6010,2,18000,1
734,235,5949,2,25000,2
735,235,6095,1,30000,1
736,235,6019,1,30000,2
737,236,10119,3,35000,1
738,236,14991,3,18000,1
739,236,14084,3,28000,2
740,237,5771,2,37000,2
741,237,5548,2,32000,2
742,237,5560,3,37000,2
743,237,13736,2,20000,2
744,237,5813,2,35000,2
745,238,13879,2,22000,2
746,238,13875,3,32000,1
747,238,7250,3,37000,2
748,238,7224,3,37000,2
749,239,432,3,22000,2
750,239,13289,1,32000,1
751,239,285,2,33000,2
752,240,65,1,25000,1
753,240,147,3,23000,2
754,241,13931,3,33000,2
755,241,7945,1,18000,2
756,241,7761,3,30000,2
757,241,8145,2,27000,2
758,242,11323,2,18000,2
759,242,15092,3,27000,2
760,242,13247,3,32000,2
761,242,10941,2,18000,2
762,243,2200,1,18000,2
763,244,12471,1,25000,1
764,245,5137,1,35000,2
765,245,5486,3,28000,2
766,245,5375,1,35000,2
767,246,6359,3,23000,2
768,246,6302,2,20000,2
769,246,6402,1,23000,2
770,247,8879,2,32000,2
771,248,711,1,22000,2
772,248,626,2,22000,2
773,248,682,3,30000,2
774,248,623,3,27000,1
775,248,783,1,35000,2
776,249,12349,1,20000,2
777,249,6023,1,28000,2
778,249,12351,3,32000,2
779,250,2328,3,32000,2
780,250,2396,1,27000,2
781,250,2436,3,32000,2
782,250,11753,3,35000,2
783,251,14059,2,30000,2
784,251,14065,2,23000,2
785,251,10052,3,23000,2
786,251,9992,3,28000,1
787,252,665,1,18000,2
788,252,548,3,25000,1
789,253,2178,1,18000,2
790,253,14351,3,20000,1
791,253,2103,3,35000,2
792,253,14353,3,32000,2
793,253,13445,3,23000,2
794,254,14983,1,27000,2
795,254,9834,1,37000,2
796,254,14087,3,22000,2
797,254,13033,1,32000,2
798,254,10129,3,23000,1
799,255,12312,2,35000,2
800,255,5742,1,27000,2
801,255,5843,3,25000,2
802,256,7247,2,18000,2
803,256,14787,1,22000,2
804,256,13882,1,20000,2
805,257,3685,2,25000,2
806,257,3607,1,37000,1
807,257,13573,1,22000,2
808,257,11935,1,20000,2
809,258,9692,2,22000,2
810,258,9562,3,33000,2
811,258,9606,3,22000,2
812,258,12919,3,32000,2
813,259,12433,2,25000,2
814,259,6450,2,22000,2
815,259,6293,1,28000,1
816,259,6446,2,28000,2
817,259,13789,3,27000,2
818,260,10168,2,32000,2
819,260,14990,2,32000,2
820,261,13453,1,20000,2
821,261,2190,2,35000,2
822,262,2367,1,37000,2
823,262,2303,3,27000,2
824,263,7491,2,22000,2
825,263,7281,3,35000,2
826,264,10879,2,20000,2
827,264,14164,1,30000,2
828,264,13212,2,20000,2
829,265,896,2,25000,2
830,265,1295,3,33000,1
831,265,1246,2,25000,1
832,265,1241,2,18000,2
833,265,13366,2,30000,2
834,266,1350,2,28000,2
835,266,889,1,37000,2
836,267,1980,3,32000,2
837,267,13382,2,37000,1
838,267,1565,2,32000,2
839,268,13021,2,27000,2
840,269,13512,3,25000,2
841,269,2852,1,27000,2
842,270,10524,1,37000,2
843,270,15001,3,32000,2
844,270,13118,1,22000,2
845,270,14093,1,20000,2
846,270,10637,1,32000,2
847,271,6080,1,27000,2
848,271,5910,3,25000,2
849,271,5956,1,22000,2
850,272,13011,3,33000,2
851,272,10106,3,30000,1
852,273,10073,3,25000,1
853,274,3923,2,35000,2
854,274,3857,3,28000,1
855,275,4392,3,18000,2
856,275,4616,3,22000,2
857,275,12113,3,18000,2
858,276,6511,2,28000,2
859,277,2379,2,23000,2
860,277,2436,3,32000,2
861,277,2268,2,33000,2
862,277,2458,2,32000,2
863,278,4207,2,22000,1
864,278,4187,1,35000,1
865,278,13602,2,18000,2
866,278,3696,2,28000,2
867,279,13287,1,32000,2
868,279,11416,3,33000,2
869,280,10047,3,18000,2
870,280,10010,2,33000,2
871,280,10172,2,18000,2
872,280,9844,2,22000,2
873,281,8412,3,22000,2
874,281,8323,2,25000,2
875,281,8478,1,20000,2
876,281,12779,1,25000,2
877,282,9114,1,35000,2
878,282,9107,3,33000,2
879,282,9327,2,35000,2
880,283,7513,1,35000,2
881,283,7263,2,25000,2
882,283,7281,2,35000,2
883,283,7416,3,28000,2
884,283,7484,1,23000,2
885,284,14244,1,20000,1
886,284,651,3,25000,2
887,284,584,1,32000,2
888,285,414,1,20000,2
889,286,1251,1,37000,2
890,286,1153,2,23000,2
891,287,12811,2,25000,2
892,287,8732,1,27000,2
893,288,14680,3,37000,2
894,289,3622,1,30000,2
895,290,1380,3,37000,2
896,290,1082,2,28000,2
897,290,1097,1,32000,1
898,290,11547,1,33000,1
899,291,3534,3,22000,1
900,291,13578,3,23000,2
901,291,11934,2,20000,2
902,291,3480,1,35000,2
903,292,980,3,18000,1
904,293,3413,1,30000,2
905,294,2906,2,25000,2
906,294,11824,2,27000,2
907,294,2826,1,20000,2
908,295,4612,1,25000,2
909,296,3276,1,32000,2
910,296,3410,2,23000,2
911,296,13541,1,25000,1
912,296,3118,3,23000,1
913,297,9946,3,35000,2
914,297,9839,2,20000,2
915,297,13001,3,37000,2
916,298,786,1,32000,2
917,298,567,1,30000,2
918,298,550,3,23000,1
919,298,596,2,37000,2
920,298,743,3,33000,1
921,299,6831,1,18000,2
922,299,6516,3,35000,1
923,299,6615,1,22000,2
924,300,5927,2,23000,2
925,300,12347,3,25000,2
926,300,6045,1,28000,2
927,301,7549,1,22000,2
928,302,9753,1,37000,2
929,302,9793,3,37000,2
930,302,9792,3,22000,2
931,302,12986,3,27000,1
932,302,12978,1,25000,2
933,303,8263,1,37000,2
934,303,8351,2,30000,2
935,303,12782,2,37000,1
936,303,8232,1,33000,1
937,303,8407,3,28000,1
938,304,14891,1,25000,2
939,304,8722,2,20000,2
940,304,14880,1,32000,2
941,305,3220,2,27000,1
942,305,3196,3,20000,2
943,305,3239,3,25000,1
944,305,3279,1,25000,2
945,306,357,1,35000,2
946,306,272,2,27000,2
947,307,4073,3,22000,2
948,308,3422,2,30000,2
949,308,13536,2,20000,2
950,308,3210,1,20000,2
951,308,3301,1,35000,2
952,308,3207,3,33000,2
953,309,6280,1,25000,2
954,310,797,3,18000,2
955,310,13319,3,32000,2
956,310,454,1,37000,2
957,310,721,2,25000,2
958,310,14243,3,32000,2
959,311,4568,1,35000,2
960,311,4720,3,32000,2
961,311,4572,1,32000,1
962,311,13672,2,22000,2
963,311,12159,2,20000,1
964,312,9774,1,30000,2
965,312,9744,3,22000,2
966,313,14952,2,35000,2
967,314,5996,1,20000,2
968,314,5985,3,22000,2
969,314,6016,1,30000,2
970,314,6017,2,32000,1
971,315,1955,3,30000,2
972,315,1456,2,22000,2
973,316,2462,3,20000,1
974,316,11762,1,37000,2
975,316,13462,2,37000,2
976,316,2414,1,27000,2
977,316,13472,2,23000,2
978,317,3235,2,28000,2
979,317,3311,3,28000,2
980,317,3259,2,33000,1
981,317,11912,2,25000,2
982,317,3175,1,33000,2
983,318,9580,2,32000,2
984,319,3575,3,32000,2
985,319,3622,3,30000,2
986,319,3523,2,22000,2
987,320,14027,2,27000,2
988,320,9511,3,23000,2
989,320,9662,3,23000,1
990,320,14035,1,33000,1
991,320,9556,1,25000,1
992,321,12557,3,30000,1
993,321,7213,1,23000,1
994,322,297,3,20000,2
995,322,361,3,30000,2
996,322,299,3,33000,1
997,322,234,1,20000,2
998,322,13276,1,32000,1
999,323,2414,1,27000,1
1000,323,2369,2,27000,1
1001,323,11768,3,35000,2
