detail_view_n_id,wine_id,detail_view_n_time
157,946,2023-06-30 17:17:38
158,579,2023-06-30 17:17:48
159,625,2023-06-30 17:17:58
160,192,2023-06-30 17:18:08
161,1270,2023-06-30 17:18:18
162,225,2023-06-30 17:18:28
163,852,2023-06-30 17:18:38
164,1321,2023-06-30 17:18:48
165,1240,2023-06-30 17:18:58
166,571,2023-06-30 17:19:08
167,620,2023-06-30 17:19:18
168,327,2023-06-30 17:19:28
169,186,2023-06-30 17:19:38
170,317,2023-06-30 17:19:48
171,864,2023-06-30 17:19:58
172,384,2023-06-30 17:20:08
173,630,2023-06-30 17:20:18
174,436,2023-06-30 17:20:28
175,1283,2023-06-30 17:20:38
176,190,2023-06-30 17:20:48
177,995,2023-06-30 17:20:58
178,819,2023-06-30 17:21:08
179,1061,2023-06-30 17:21:18
180,767,2023-06-30 17:21:28
181,311,2023-06-30 17:21:38
182,756,2023-06-30 17:21:48
183,1295,2023-06-30 17:21:58
184,1045,2023-06-30 17:22:08
185,1355,2023-06-30 17:22:18
186,823,2023-06-30 17:22:28
187,458,2023-06-30 17:22:38
188,843,2023-06-30 17:22:48
189,730,2023-06-30 17:22:58
190,974,2023-06-30 17:23:08
191,472,2023-06-30 17:23:18
192,791,2023-06-30 17:23:28
193,719,2023-06-30 17:23:38
194,909,2023-06-30 17:23:48
195,468,2023-06-30 17:23:58
196,1048,2023-06-30 17:24:08
197,740,2023-06-30 17:24:18
198,1344,2023-06-30 17:24:28
199,71,2023-06-30 17:24:38
200,427,2023-06-30 17:24:48
201,1239,2023-06-30 17:24:58
202,171,2023-06-30 17:25:08
203,131,2023-06-30 17:25:18
204,461,2023-06-30 17:25:28
205,734,2023-06-30 17:25:38
206,250,2023-06-30 17:25:48
207,978,2023-06-30 17:25:58
208,310,2023-06-30 17:26:08
209,959,2023-06-30 17:26:18
210,260,2023-06-30 17:26:28
211,576,2023-06-30 17:26:38
212,487,2023-06-30 17:26:48
213,885,2023-06-30 17:26:58
214,369,2023-06-30 17:27:08
215,690,2023-06-30 17:27:18
216,520,2023-06-30 17:27:28
217,643,2023-06-30 17:27:38
218,190,2023-06-30 17:27:48
219,457,2023-06-30 17:27:58
220,1001,2023-06-30 17:28:08
221,65,2023-06-30 17:28:18
222,884,2023-06-30 17:28:28
223,1146,2023-06-30 17:28:38
224,498,2023-06-30 17:28:48
225,313,2023-06-30 17:28:58
226,504,2023-06-30 17:29:08
227,479,2023-06-30 17:29:18
228,19,2023-06-30 17:29:28
229,61,2023-06-30 17:29:38
230,1130,2023-06-30 17:29:48
231,1233,2023-06-30 17:29:58
232,627,2023-06-30 17:30:08
233,48,2023-06-30 17:30:18
234,818,2023-06-30 17:30:28
235,165,2023-06-30 17:30:38
236,1169,2023-06-30 17:30:48
237,752,2023-06-30 17:30:58
238,1050,2023-06-30 17:31:08
239,1380,2023-06-30 17:31:18
240,55,2023-06-30 17:31:28
241,846,2023-06-30 17:31:38
242,1120,2023-06-30 17:31:48
243,231,2023-06-30 17:31:58
244,1104,2023-06-30 17:32:08
245,114,2023-06-30 17:32:18
246,368,2023-06-30 17:32:28
247,19,2023-06-30 17:32:38
248,733,2023-06-30 17:32:48
249,915,2023-06-30 17:32:58
250,716,2023-06-30 17:33:08
251,405,2023-06-30 17:33:18
252,1223,2023-06-30 17:33:28
253,155,2023-06-30 17:33:38
254,859,2023-06-30 17:33:48
255,341,2023-06-30 17:33:58
256,578,2023-06-30 17:34:08
257,907,2023-06-30 17:34:18
258,916,2023-06-30 17:34:28
259,1212,2023-06-30 17:34:38
260,1362,2023-06-30 17:34:48
261,545,2023-06-30 17:34:58
262,664,2023-06-30 17:35:08
263,376,2023-06-30 17:35:18
264,889,2023-06-30 17:35:28
265,470,2023-06-30 17:35:38
266,1041,2023-06-30 17:35:48
267,795,2023-06-30 17:35:58
268,534,2023-06-30 17:36:08
269,1330,2023-06-30 17:36:18
270,1043,2023-06-30 17:36:28
271,1345,2023-06-30 17:36:38
272,467,2023-06-30 17:36:48
273,160,2023-06-30 17:36:58
274,650,2023-06-30 17:37:08
275,619,2023-06-30 17:37:18
276,1332,2023-06-30 17:37:28
277,549,2023-06-30 17:37:38
278,319,2023-06-30 17:37:48
279,580,2023-06-30 17:37:58
280,748,2023-06-30 17:38:08
281,435,2023-06-30 17:38:18
282,779,2023-06-30 17:38:28
283,936,2023-06-30 17:38:38
284,1162,2023-06-30 17:38:48
285,1154,2023-06-30 17:38:58
286,86,2023-06-30 17:39:08
287,1155,2023-06-30 17:39:18
288,546,2023-06-30 17:39:28
289,57,2023-06-30 17:39:38
290,255,2023-06-30 17:39:48
291,324,2023-06-30 17:39:58
292,68,2023-06-30 17:40:08
293,421,2023-06-30 17:40:18
294,501,2023-06-30 17:40:28
295,336,2023-06-30 17:40:38
296,894,2023-06-30 17:40:48
297,816,2023-06-30 17:40:58
298,480,2023-06-30 17:41:08
299,788,2023-06-30 17:41:18
300,1361,2023-06-30 17:41:28
301,281,2023-06-30 17:41:38
302,1007,2023-06-30 17:41:48
303,994,2023-06-30 17:41:58
304,882,2023-06-30 17:42:08
305,322,2023-06-30 17:42:18
306,160,2023-06-30 17:42:28
307,26,2023-06-30 17:42:38
308,854,2023-06-30 17:42:48
309,451,2023-06-30 17:42:58
310,416,2023-06-30 17:43:08
311,1084,2023-06-30 17:43:18
312,281,2023-06-30 17:43:28
313,411,2023-06-30 17:43:38
314,1072,2023-06-30 17:43:48
315,130,2023-06-30 17:43:58
316,237,2023-06-30 17:44:08
317,1119,2023-06-30 17:44:18
318,914,2023-06-30 17:44:28
319,781,2023-06-30 17:44:38
320,91,2023-06-30 17:44:48
321,1221,2023-06-30 17:44:58
322,1109,2023-06-30 17:45:08
323,1042,2023-06-30 17:45:18
324,530,2023-06-30 17:45:28
325,1051,2023-06-30 17:45:38
326,93,2023-06-30 17:45:48
327,1381,2023-06-30 17:45:58
328,1204,2023-06-30 17:46:08
329,583,2023-06-30 17:46:18
330,862,2023-06-30 17:46:28
331,1021,2023-06-30 17:46:38
332,710,2023-06-30 17:46:48
333,948,2023-06-30 17:46:58
334,220,2023-06-30 17:47:08
335,971,2023-06-30 17:47:18
336,1171,2023-06-30 17:47:28
337,618,2023-06-30 17:47:38
338,404,2023-06-30 17:47:48
339,457,2023-06-30 17:47:58
340,831,2023-06-30 17:48:08
341,1374,2023-06-30 17:48:18
342,691,2023-06-30 17:48:28
343,1296,2023-06-30 17:48:38
344,489,2023-06-30 17:48:48
345,74,2023-06-30 17:48:58
346,851,2023-06-30 17:49:08
347,807,2023-06-30 17:49:18
348,260,2023-06-30 17:49:28
349,770,2023-06-30 17:49:38
350,370,2023-06-30 17:49:48
351,832,2023-06-30 17:49:58
352,960,2023-06-30 17:50:08
353,1322,2023-06-30 17:50:18
354,958,2023-06-30 17:50:28
355,929,2023-06-30 17:50:38
356,865,2023-06-30 17:50:48
357,595,2023-06-30 17:50:58
358,29,2023-06-30 17:51:08
359,1156,2023-06-30 17:51:18
360,1386,2023-06-30 17:51:28
361,1302,2023-06-30 17:51:38
362,1100,2023-06-30 17:51:48
363,1301,2023-06-30 17:51:58
364,334,2023-06-30 17:52:08
365,502,2023-06-30 17:52:18
366,198,2023-06-30 17:52:28
367,395,2023-06-30 17:52:38
368,1362,2023-06-30 17:52:48
369,1038,2023-06-30 17:52:58
370,1077,2023-06-30 17:53:08
371,584,2023-06-30 17:53:18
372,875,2023-06-30 17:53:28
373,898,2023-06-30 17:53:38
374,222,2023-06-30 17:53:48
375,1024,2023-06-30 17:53:58
376,883,2023-06-30 17:54:08
377,778,2023-06-30 17:54:18
378,1337,2023-06-30 17:54:28
379,924,2023-06-30 17:54:38
380,565,2023-06-30 17:54:48
381,117,2023-06-30 17:54:58
382,1333,2023-06-30 17:55:08
383,313,2023-06-30 17:55:18
384,751,2023-06-30 17:55:28
385,454,2023-06-30 17:55:38
386,75,2023-06-30 17:55:48
387,1295,2023-06-30 17:55:58
388,1184,2023-06-30 17:56:08
389,748,2023-06-30 17:56:18
390,798,2023-06-30 17:56:28
391,35,2023-06-30 17:56:38
392,1344,2023-06-30 17:56:48
393,878,2023-06-30 17:56:58
394,282,2023-06-30 17:57:08
395,496,2023-06-30 17:57:18
396,1245,2023-06-30 17:57:28
397,601,2023-06-30 17:57:38
398,1059,2023-06-30 17:57:48
399,801,2023-06-30 17:57:58
400,320,2023-06-30 17:58:08
401,1325,2023-06-30 17:58:18
402,718,2023-06-30 17:58:28
403,1043,2023-06-30 17:58:38
404,367,2023-06-30 17:58:48
405,376,2023-06-30 17:58:58
406,308,2023-06-30 17:59:08
407,377,2023-06-30 17:59:18
408,1252,2023-06-30 17:59:28
409,413,2023-06-30 17:59:38
410,557,2023-06-30 17:59:48
411,298,2023-06-30 17:59:58
412,452,2023-06-30 18:00:08
413,1314,2023-06-30 18:00:18
414,72,2023-06-30 18:00:28
415,1059,2023-06-30 18:00:38
416,796,2023-06-30 18:00:48
417,951,2023-06-30 18:00:58
418,89,2023-06-30 18:01:08
419,240,2023-06-30 18:01:18
420,837,2023-06-30 18:01:28
421,215,2023-06-30 18:01:38
422,543,2023-06-30 18:01:48
423,679,2023-06-30 18:01:58
424,1161,2023-06-30 18:02:08
425,817,2023-06-30 18:02:18
426,460,2023-06-30 18:02:28
427,835,2023-06-30 18:02:38
428,139,2023-06-30 18:02:48
429,1338,2023-06-30 18:02:58
430,1007,2023-06-30 18:03:08
431,931,2023-06-30 18:03:18
432,169,2023-06-30 18:03:28
433,675,2023-06-30 18:03:38
434,216,2023-06-30 18:03:48
435,1168,2023-06-30 18:03:58
436,502,2023-06-30 18:04:08
437,361,2023-06-30 18:04:18
438,1030,2023-06-30 18:04:28
439,76,2023-06-30 18:04:38
440,434,2023-06-30 18:04:48
441,1224,2023-06-30 18:04:58
442,281,2023-06-30 18:05:08
443,526,2023-06-30 18:05:18
444,483,2023-06-30 18:05:28
445,781,2023-06-30 18:05:38
446,1387,2023-06-30 18:05:48
447,915,2023-06-30 18:05:58
448,617,2023-06-30 18:06:08
449,353,2023-06-30 18:06:18
450,505,2023-06-30 18:06:28
451,773,2023-06-30 18:06:38
452,404,2023-06-30 18:06:48
453,419,2023-06-30 18:06:58
454,178,2023-06-30 18:07:08
455,524,2023-06-30 18:07:18
456,121,2023-06-30 18:07:28
457,1222,2023-06-30 18:07:38
458,418,2023-06-30 18:07:48
459,534,2023-06-30 18:07:58
460,758,2023-06-30 18:08:08
461,393,2023-06-30 18:08:18
462,459,2023-06-30 18:08:28
463,746,2023-06-30 18:08:38
464,1174,2023-06-30 18:08:48
465,507,2023-06-30 18:08:58
466,927,2023-06-30 18:09:08
467,306,2023-06-30 18:09:18
468,564,2023-06-30 18:09:28
469,166,2023-06-30 18:09:38
470,91,2023-06-30 18:09:48
471,1193,2023-06-30 18:09:58
472,735,2023-06-30 18:10:08
473,722,2023-06-30 18:10:18
474,712,2023-06-30 18:10:28
475,450,2023-06-30 18:10:38
476,162,2023-06-30 18:10:48
477,615,2023-06-30 18:10:58
478,1152,2023-06-30 18:11:08
479,516,2023-06-30 18:11:18
480,300,2023-06-30 18:11:28
481,716,2023-06-30 18:11:38
482,778,2023-06-30 18:11:48
483,447,2023-06-30 18:11:58
484,1066,2023-06-30 18:12:08
485,75,2023-06-30 18:12:18
486,298,2023-06-30 18:12:28
487,993,2023-06-30 18:12:38
488,211,2023-06-30 18:12:48
489,1364,2023-06-30 18:12:58
490,207,2023-06-30 18:13:08
491,397,2023-06-30 18:13:18
492,838,2023-06-30 18:13:28
493,83,2023-06-30 18:13:38
494,762,2023-06-30 18:13:48
495,1308,2023-06-30 18:13:58
496,1031,2023-06-30 18:14:08
497,168,2023-06-30 18:14:18
498,166,2023-06-30 18:14:28
499,618,2023-06-30 18:14:38
500,995,2023-06-30 18:14:48
501,233,2023-06-30 18:14:58
502,762,2023-06-30 18:15:08
503,766,2023-06-30 18:15:18
504,297,2023-06-30 18:15:28
505,778,2023-06-30 18:15:38
506,113,2023-06-30 18:15:48
507,589,2023-06-30 18:15:58
508,672,2023-06-30 18:16:08
509,418,2023-06-30 18:16:18
510,1345,2023-06-30 18:16:28
511,642,2023-06-30 18:16:38
512,61,2023-06-30 18:16:48
513,378,2023-06-30 18:16:58
514,689,2023-06-30 18:17:08
515,708,2023-06-30 18:17:18
516,1001,2023-06-30 18:17:28
517,613,2023-06-30 18:17:38
518,399,2023-06-30 18:17:48
519,339,2023-06-30 18:17:58
520,406,2023-06-30 18:18:08
521,411,2023-06-30 18:18:18
522,322,2023-06-30 18:18:28
523,966,2023-06-30 18:18:38
524,176,2023-06-30 18:18:48
525,1359,2023-06-30 18:18:58
526,713,2023-06-30 18:19:08
527,454,2023-06-30 18:19:18
528,1098,2023-06-30 18:19:28
529,302,2023-06-30 18:19:38
530,1144,2023-06-30 18:19:48
531,434,2023-06-30 18:19:58
532,448,2023-06-30 18:20:08
533,1059,2023-06-30 18:20:18
534,973,2023-06-30 18:20:28
535,712,2023-06-30 18:20:38
536,225,2023-06-30 18:20:48
537,560,2023-06-30 18:20:58
538,1161,2023-06-30 18:21:08
539,534,2023-06-30 18:21:18
540,627,2023-06-30 18:21:28
541,1343,2023-06-30 18:21:38
542,604,2023-06-30 18:21:48
543,271,2023-06-30 18:21:58
544,1096,2023-06-30 18:22:08
545,287,2023-06-30 18:22:18
546,726,2023-06-30 18:22:28
547,143,2023-06-30 18:22:38
548,719,2023-06-30 18:22:48
549,1120,2023-06-30 18:22:58
550,584,2023-06-30 18:23:08
551,1107,2023-06-30 18:23:18
552,1181,2023-06-30 18:23:28
553,523,2023-06-30 18:23:38
554,38,2023-06-30 18:23:48
555,1360,2023-06-30 18:23:58
556,349,2023-06-30 18:24:08
557,687,2023-06-30 18:24:18
558,5,2023-06-30 18:24:28
559,977,2023-06-30 18:24:38
560,520,2023-06-30 18:24:48
561,140,2023-06-30 18:24:58
562,1369,2023-06-30 18:25:08
563,987,2023-06-30 18:25:18
564,898,2023-06-30 18:25:28
565,1178,2023-06-30 18:25:38
566,273,2023-06-30 18:25:48
567,1389,2023-06-30 18:25:58
568,417,2023-06-30 18:26:08
569,103,2023-06-30 18:26:18
570,790,2023-06-30 18:26:28
571,1104,2023-06-30 18:26:38
572,623,2023-06-30 18:26:48
573,1224,2023-06-30 18:26:58
574,679,2023-06-30 18:27:08
575,788,2023-06-30 18:27:18
576,246,2023-06-30 18:27:28
577,433,2023-06-30 18:27:38
578,925,2023-06-30 18:27:48
579,1123,2023-06-30 18:27:58
580,418,2023-06-30 18:28:08
581,322,2023-06-30 18:28:18
582,364,2023-06-30 18:28:28
583,435,2023-06-30 18:28:38
584,1378,2023-06-30 18:28:48
585,277,2023-06-30 18:28:58
586,1164,2023-06-30 18:29:08
587,1383,2023-06-30 18:29:18
588,1131,2023-06-30 18:29:28
589,360,2023-06-30 18:29:38
590,41,2023-06-30 18:29:48
591,1190,2023-06-30 18:29:58
592,335,2023-06-30 18:30:08
593,861,2023-06-30 18:30:18
594,1327,2023-06-30 18:30:28
595,903,2023-06-30 18:30:38
596,419,2023-06-30 18:30:48
597,1028,2023-06-30 18:30:58
598,1067,2023-06-30 18:31:08
599,235,2023-06-30 18:31:18
600,136,2023-06-30 18:31:28
601,26,2023-06-30 18:31:38
602,1121,2023-06-30 18:31:48
603,1,2023-06-30 18:31:58
604,1383,2023-06-30 18:32:08
605,803,2023-06-30 18:32:18
606,147,2023-06-30 18:32:28
607,574,2023-06-30 18:32:38
608,198,2023-06-30 18:32:48
609,911,2023-06-30 18:32:58
610,332,2023-06-30 18:33:08
611,690,2023-06-30 18:33:18
612,87,2023-06-30 18:33:28
613,753,2023-06-30 18:33:38
614,524,2023-06-30 18:33:48
615,54,2023-06-30 18:33:58
616,796,2023-06-30 18:34:08
617,75,2023-06-30 18:34:18
618,1051,2023-06-30 18:34:28
619,349,2023-06-30 18:34:38
620,489,2023-06-30 18:34:48
621,646,2023-06-30 18:34:58
622,160,2023-06-30 18:35:08
623,1085,2023-06-30 18:35:18
624,87,2023-06-30 18:35:28
625,357,2023-06-30 18:35:38
626,630,2023-06-30 18:35:48
627,1059,2023-06-30 18:35:58
628,235,2023-06-30 18:36:08
629,618,2023-06-30 18:36:18
630,72,2023-06-30 18:36:28
631,124,2023-06-30 18:36:38
632,379,2023-06-30 18:36:48
633,458,2023-06-30 18:36:58
634,49,2023-06-30 18:37:08
635,512,2023-06-30 18:37:18
636,308,2023-06-30 18:37:28
637,328,2023-06-30 18:37:38
638,186,2023-06-30 18:37:48
639,883,2023-06-30 18:37:58
640,96,2023-06-30 18:38:08
641,1129,2023-06-30 18:38:18
642,485,2023-06-30 18:38:28
643,1341,2023-06-30 18:38:38
644,881,2023-06-30 18:38:48
645,181,2023-06-30 18:38:58
646,1365,2023-06-30 18:39:08
647,941,2023-06-30 18:39:18
648,1111,2023-06-30 18:39:28
649,1086,2023-06-30 18:39:38
650,859,2023-06-30 18:39:48
651,910,2023-06-30 18:39:58
652,145,2023-06-30 18:40:08
653,203,2023-06-30 18:40:18
654,939,2023-06-30 18:40:28
655,1044,2023-06-30 18:40:38
656,1156,2023-06-30 18:40:48
657,156,2023-06-30 18:40:58
658,1227,2023-06-30 18:41:08
659,352,2023-06-30 18:41:18
660,500,2023-06-30 18:41:28
661,99,2023-06-30 18:41:38
662,911,2023-06-30 18:41:48
663,413,2023-06-30 18:41:58
664,327,2023-06-30 18:42:08
665,148,2023-06-30 18:42:18
666,47,2023-06-30 18:42:28
667,666,2023-06-30 18:42:38
668,878,2023-06-30 18:42:48
669,401,2023-06-30 18:42:58
670,69,2023-06-30 18:43:08
671,1351,2023-06-30 18:43:18
672,833,2023-06-30 18:43:28
673,18,2023-06-30 18:43:38
674,986,2023-06-30 18:43:48
675,932,2023-06-30 18:43:58
676,706,2023-06-30 18:44:08
677,936,2023-06-30 18:44:18
678,209,2023-06-30 18:44:28
679,301,2023-06-30 18:44:38
680,1067,2023-06-30 18:44:48
681,317,2023-06-30 18:44:58
682,655,2023-06-30 18:45:08
683,133,2023-06-30 18:45:18
684,1231,2023-06-30 18:45:28
685,275,2023-06-30 18:45:38
686,1088,2023-06-30 18:45:48
687,607,2023-06-30 18:45:58
688,563,2023-06-30 18:46:08
689,873,2023-06-30 18:46:18
690,352,2023-06-30 18:46:28
691,66,2023-06-30 18:46:38
692,182,2023-06-30 18:46:48
693,1077,2023-06-30 18:46:58
694,175,2023-06-30 18:47:08
695,20,2023-06-30 18:47:18
696,787,2023-06-30 18:47:28
697,48,2023-06-30 18:47:38
698,646,2023-06-30 18:47:48
699,904,2023-06-30 18:47:58
700,1249,2023-06-30 18:48:08
701,55,2023-06-30 18:48:18
702,304,2023-06-30 18:48:28
703,365,2023-06-30 18:48:38
704,333,2023-06-30 18:48:48
705,1340,2023-06-30 18:48:58
706,491,2023-06-30 18:49:08
707,1293,2023-06-30 18:49:18
708,654,2023-06-30 18:49:28
709,684,2023-06-30 18:49:38
710,742,2023-06-30 18:49:48
711,222,2023-06-30 18:49:58
712,75,2023-06-30 18:50:08
713,1088,2023-06-30 18:50:18
714,1148,2023-06-30 18:50:28
715,962,2023-06-30 18:50:38
716,1073,2023-06-30 18:50:48
717,397,2023-06-30 18:50:58
718,103,2023-06-30 18:51:08
719,38,2023-06-30 18:51:18
720,176,2023-06-30 18:51:28
721,1044,2023-06-30 18:51:38
722,664,2023-06-30 18:51:48
723,726,2023-06-30 18:51:58
724,985,2023-06-30 18:52:08
725,115,2023-06-30 18:52:18
726,198,2023-06-30 18:52:28
727,775,2023-06-30 18:52:38
728,119,2023-06-30 18:52:48
729,738,2023-06-30 18:52:58
730,407,2023-06-30 18:53:08
731,480,2023-06-30 18:53:18
732,1189,2023-06-30 18:53:28
733,599,2023-06-30 18:53:38
734,788,2023-06-30 18:53:48
735,266,2023-06-30 18:53:58
736,1026,2023-06-30 18:54:08
737,1294,2023-06-30 18:54:18
738,545,2023-06-30 18:54:28
739,85,2023-06-30 18:54:38
740,107,2023-06-30 18:54:48
741,394,2023-06-30 18:54:58
742,430,2023-06-30 18:55:08
743,1211,2023-06-30 18:55:18
744,273,2023-06-30 18:55:28
745,763,2023-06-30 18:55:38
746,1340,2023-06-30 18:55:48
747,874,2023-06-30 18:55:58
748,174,2023-06-30 18:56:08
749,1332,2023-06-30 18:56:18
750,316,2023-06-30 18:56:28
751,1200,2023-06-30 18:56:38
752,434,2023-06-30 18:56:48
753,42,2023-06-30 18:56:58
754,960,2023-06-30 18:57:08
755,480,2023-06-30 18:57:18
756,63,2023-06-30 18:57:28
757,829,2023-06-30 18:57:38
758,355,2023-06-30 18:57:48
759,869,2023-06-30 18:57:58
760,919,2023-06-30 18:58:08
761,527,2023-06-30 18:58:18
762,443,2023-06-30 18:58:28
763,720,2023-06-30 18:58:38
764,1017,2023-06-30 18:58:48
765,217,2023-06-30 18:58:58
766,1275,2023-06-30 18:59:08
767,828,2023-06-30 18:59:18
768,49,2023-06-30 18:59:28
769,531,2023-06-30 18:59:38
770,1277,2023-06-30 18:59:48
771,753,2023-06-30 18:59:58
772,897,2023-06-30 19:00:08
773,88,2023-06-30 19:00:18
774,633,2023-06-30 19:00:28
775,131,2023-06-30 19:00:38
776,1148,2023-06-30 19:00:48
777,565,2023-06-30 19:00:58
778,972,2023-06-30 19:01:08
779,701,2023-06-30 19:01:18
780,435,2023-06-30 19:01:28
781,95,2023-06-30 19:01:38
782,218,2023-06-30 19:01:48
783,609,2023-06-30 19:01:58
784,324,2023-06-30 19:02:08
785,1260,2023-06-30 19:02:18
786,520,2023-06-30 19:02:28
787,1057,2023-06-30 19:02:38
788,855,2023-06-30 19:02:48
789,1026,2023-06-30 19:02:58
790,356,2023-06-30 19:03:08
791,727,2023-06-30 19:03:18
792,349,2023-06-30 19:03:28
793,757,2023-06-30 19:03:38
794,164,2023-06-30 19:03:48
795,1205,2023-06-30 19:03:58
796,300,2023-06-30 19:04:08
797,335,2023-06-30 19:04:18
798,753,2023-06-30 19:04:28
799,253,2023-06-30 19:04:38
800,1219,2023-06-30 19:04:48
801,81,2023-06-30 19:04:58
802,566,2023-06-30 19:05:08
803,194,2023-06-30 19:05:18
804,666,2023-06-30 19:05:28
805,1300,2023-06-30 19:05:38
806,292,2023-06-30 19:05:48
807,159,2023-06-30 19:05:58
808,507,2023-06-30 19:06:08
809,962,2023-06-30 19:06:18
