wine_id,wine_name,wine_name_eng,wine_sort,wine_capacity,wine_alc,wine_dangdo,wine_sando,wine_tannin,wine_food,wine_image,wine_region_id
70,"페로 13, 해커","Ferro 13, Hacker",1,750,12.0,1,3,3,1,../../media/images/wine/01070.png,2
71,"페로 13, 젠틀맨","Ferro 13, Gentleman",1,750,13.0,1,3,2,2,../../media/images/wine/01071.png,2
72,"페로 13, 해쉬태그","Ferro 13, Hashtag",2,750,13.0,1,4,1,4,../../media/images/wine/01072.png,2
73,"페로 13, 더 레이디","Ferro 13, The Lady",2,750,13.0,1,3,2,4,../../media/images/wine/01073.png,2
74,"페로 13, 너드","Ferro 13, Nerd",1,750,14.0,1,3,3,2,../../media/images/wine/01074.png,2
75,"페로 13, 힙스터","Ferro 13, Hipster",1,750,14.0,1,3,3,4,../../media/images/wine/01075.png,2
76,"트룰리, 프리미티보","Trulli, Primitivo",1,750,14.0,1,3,3,1,../../media/images/wine/01076.png,2
77,"테누타 산 안토니오, 소아베 폰타나","Tenuta Sant' Antonio, Soave Fontana",2,750,13.0,1,3,1,1,../../media/images/wine/01077.png,2
78,시스티나 몬테풀치아노 다부르쪼 리제르바,Sistina Montepulciano d'Abruzzo Riserva,1,750,15.0,1,3,3,1,../../media/images/wine/01078.png,2
79,시스티나 몬테풀치아노 다부르쪼,Sistina Montepulciano d'Abruzzo,1,750,14.0,1,3,3,1,../../media/images/wine/01079.png,2
80,시스티나 아파시멘토,Sistina Appassimento,1,750,15.0,1,3,3,1,../../media/images/wine/01080.png,2
81,"산 마르티노, 피노 네로 로사토","San Martino, Pinot Nero Rosato Brut",4,750,13.0,1,4,1,2,../../media/images/wine/01081.png,2
82,"테누타 살바테라, 팔리아 3","Tenuta Salvaterra, Falia Rose",3,750,13.0,1,3,1,5,../../media/images/wine/01082.png,2
83,"테누타 살바테라, 팔리아 비앙코","Tenuta Salvaterra, Falia Bianco",2,750,13.0,1,3,1,4,../../media/images/wine/01083.png,2
84,"테누타 살바테라, 팔리아 로쏘","Tenuta Salvaterra, Falia Rosso",1,750,14.0,1,3,3,2,../../media/images/wine/01084.png,2
85,"아스트랄, 키안티 리제르바","Astrale, Chianti Riserva",1,750,14.0,1,3,4,2,../../media/images/wine/01085.png,2
86,"아스트랄, 키안티","Astral, Chianti",1,750,13.0,1,3,4,3,../../media/images/wine/01086.png,2
87,"아스트랄, 로쏘","Astrale, Rosso",1,750,15.0,1,4,4,2,../../media/images/wine/01087.png,2
88,"아스트랄, 비앙코","Astrale, Bianco",2,750,14.0,1,4,1,4,../../media/images/wine/01088.png,2
89,"아스트랄, 스푸만테 엑스트라 드라이","Astrale, Spumante Extra Dry",4,750,12.0,1,3,1,4,../../media/images/wine/01089.png,2
90,리포타 프리미티보,Riporta Primitivo,1,750,15.0,1,3,4,1,../../media/images/wine/01090.png,2
91,"까르페니 말볼티, 프로세코 트레비소","Carpene Malvolti, Prosecco Treviso",4,750,11.0,1,3,1,5,../../media/images/wine/01091.png,2
92,"까르페니 말볼티, 1868 프로세코 수페리오레","Carpene Malvolti, 1868 Prosecco Superiore",4,750,12.0,1,3,1,5,../../media/images/wine/01092.png,2
93,"노떼 로사, 베르멘티노 살렌토","Notte Rossa, Vermentino Salento",2,750,13.0,1,4,1,5,../../media/images/wine/01093.png,2
94,"노떼 로사, 프리미티보 풀리아 바이오","Notte Rossa, Primitivo Puglia Bio",1,750,14.5,1,3,3,1,../../media/images/wine/01094.png,2
95,"노떼 로사, 네그로아마로 디 테라 도트란토","Notte Rossa, Negroamaro di Terra d'Otranto",1,750,14.5,1,3,3,4,../../media/images/wine/01095.png,2
96,"노떼 로사, 프리미티보 디 만두리아","Notte Rossa, Primitivo di Manduria",1,750,15.0,1,3,4,1,../../media/images/wine/01096.png,2
97,"프레스코발디, 포미노 비앙코","Frescobaldi, Pomino Bianco",2,750,13.0,1,4,1,2,../../media/images/wine/01097.png,2
98,"프레스코발디, 테누타 카스틸리오니 키안티","Frescobaldi, Tenuta Castiglioni Chianti",1,750,14.0,1,3,4,1,../../media/images/wine/01098.png,2
99,"프레스코발디, 키안티 클라시코 파우나에","Frescobaldi, Chianti Classico Faunae",1,750,14.0,1,3,4,1,../../media/images/wine/01099.jpg,2
100,"프레스코발디, 알리에 3","Frescobaldi, Alie Rose",3,750,13.0,1,3,2,4,../../media/images/wine/01100.png,2
101,"칸티네 체치, 주세페 베르디 말바시아 브륏","Cantine Ceci, Giuseppe Verdi Malvasia Brut",4,750,12.0,1,4,1,5,../../media/images/wine/01101.png,2
102,"칸티네 체치, 주세페 베르디 람브루스코 로사 아마빌레","Cantine Ceci, Giuseppe Verdi Lambrusco Rosa Amabile",4,750,9.0,3,3,1,5,../../media/images/wine/01102.png,2
103,"로르나노, 키안티 클라시코","Lornano, Chianti Classico",1,750,15.0,1,3,3,4,../../media/images/wine/01103.png,2
104,"발비 소프라니, 가비","Balbi Soprani, Gavi",2,750,13.0,1,4,1,4,../../media/images/wine/01104.png,2
105,"발비 소프라니, 로에로 아르네이스","Balbi Soprani, Roero Arneis",2,750,14.0,1,4,1,2,../../media/images/wine/01105.png,2
106,"콜라브리고, 프로세코 수페리오레 브뤼","Collalbrigo, Prosecco Superiore Brut",4,750,12.0,1,3,1,4,../../media/images/wine/01106.png,2
107,"콜라브리고, 프로세코 엑스트라 드라이","Collalbrigo, Prosecco Extra Dry",4,750,12.0,1,4,1,4,../../media/images/wine/01107.png,2
108,"콜라브리고, 프로세코 브뤼","Collalbrigo, Prosecco Brut",4,750,12.0,1,3,1,4,../../media/images/wine/01108.png,2
109,"발레벨보, 까띠나 모스까또 다스티","Vallebelbo, Catina Moscato d'Asti _x000B_",2,750,6.0,3,3,1,1,../../media/images/wine/01109.png,2
110,"아리온, 마마망고","Arione, Mama mango",4,750,6.0,3,3,1,4,../../media/images/wine/01110.png,2
111,산 제노네 로쏘 토스카나,San Zenone Rosso Toscana,1,750,14.0,1,3,3,2,../../media/images/wine/01111.png,2
112,"라르카, 프리미티보 풀리아","L'Arca, Primitivo Puglia",1,750,14.0,1,3,3,1,../../media/images/wine/01112.png,2
113,"라르카, 네그로아마로 풀리아","L'Arca, Negroamaro Puglia",1,750,14.0,2,3,3,5,../../media/images/wine/01113.png,2
114,고베르노 디 카스텔라레,Governo di Castellare,1,750,13.0,1,3,2,4,../../media/images/wine/01114.png,2
115,"보데가스 베르데쿠르즈, 꼴리 세미세코","Bodegas Verduguez, Coeli Semisco",4,750,11.5,2,3,1,1,../../media/images/wine/01115.png,2
116,"산 마르코, 투스쿨룸 비노 비앙코","San Marco, Tusculum Vino Bianco",2,750,13.0,1,4,1,2,../../media/images/wine/01116.png,2
117,"산 마르코, 폰테 가이아 비노 로쏘","San Marco, Fonte Gaia Vino Rosso",1,750,13.0,1,4,3,1,../../media/images/wine/01117.png,2
118,크리스마스 아스티,Christmas Asti,4,750,6.0,4,2,1,4,../../media/images/wine/01118.png,2
119,"바스티오니 델라 로카, 프리미티보","Bastioni della Rocca, Primitivo",1,750,15.0,1,3,4,1,../../media/images/wine/01119.png,2
120,"두게싸 리아, 아스티 세코","Duchessa Lia, Asti Secco",4,750,11.0,4,3,1,1,../../media/images/wine/01120.png,2
121,코스타 메디아나 아마로네 델라 발폴리첼라,Costa Mediana Amarone dell Valpolicella,1,750,16.0,1,3,4,5,../../media/images/wine/01121.png,2
122,"단티, 프리미티보","Danti, Primitivo",1,750,15.0,1,3,4,2,../../media/images/wine/01122.png,2
123,"트룰리, 루깔레 아파시멘토","rulli, Lucale Appasimento",1,750,15.0,1,3,4,1,../../media/images/wine/01123.png,2
124,투 보틀 돌체 비앙코,Two Bottle Dolce Bianco,2,750,6.0,4,2,1,2,../../media/images/wine/01124.png,2
125,"페트라, 징가리 비앙코",Petra Zingari Bianco,2,750,13.0,1,3,1,5,../../media/images/wine/01125.png,2
126,"페트라, 징가리 로사토","Petra, Zingari Rosato",3,750,14.0,1,3,2,5,../../media/images/wine/01126.png,2
127,"일 보로, 3 델 보로","Il Borro, Rose del Borro",3,750,14.0,1,3,1,2,../../media/images/wine/01127.png,2
128,꼬모 모스카토,Como Moscato,2,750,6.0,4,3,1,2,../../media/images/wine/01128.png,2
129,토레 라치나,Torre Rracina,1,750,12.0,1,3,3,1,../../media/images/wine/01129.png,2
130,마쏘 안티코 피아노,Masso Antico Fiano,2,750,14.0,1,4,1,5,../../media/images/wine/01130.png,2
131,"지오다노, 셀바토 토스카나 로쏘","Giordano, Selvato Toscana Rosso",1,750,14.0,1,4,3,1,../../media/images/wine/01131.png,2
132,"소마리바, 꼬넬리아노 발도비아데네 프로세코 수페리오레 드라이","Sommariva, Conegliano Valdobbiadene Prosecco Superiore Dry",4,750,11.0,1,3,1,2,../../media/images/wine/01132.jpg,2
133,"칸티나 테를란, 샤르도네","Cantina Terlan, Chardonnay",2,750,14.0,1,3,1,4,../../media/images/wine/01133.png,2
134,"카잘 파르네토, 베르디끼오","Casal Farneto, Verdicchio",2,750,14.0,1,4,1,5,../../media/images/wine/01134.jpg,2
135,"카잘 파르네토, 몬테풀치아노","Casal Farneto, Montepulciano",1,750,14.0,1,3,3,1,../../media/images/wine/01135.jpg,2
136,"탈라몬티, 꼴레 꼬르비아노 몬테풀치아노","Talamonti, Colle Corviano Montepulciano d'Abruzzo",1,750,14.0,1,4,3,1,../../media/images/wine/01136.jpg,2
137,"폴리지아노, 모렐리노 디 스칸사노","Poliziano, Morellino di Scansano",1,750,14.0,1,3,4,1,../../media/images/wine/01137.jpg,2
138,"폴리지아노,로쏘 디 몬테풀치아노","Poliziano, Rosso di Montepulciano",1,750,14.0,1,3,3,3,../../media/images/wine/01138.jpg,2
139,"두카 디 사락냐노, 빠쇼네","Duca di Saragnano, Passone",1,750,14.0,1,4,4,1,../../media/images/wine/01139.jpg,2
140,"칸티나 꼴리 에오가네이, 모스카토 스푸만테 돌체","Cantina Colli Euganei, Moscato Spumante Dolce",4,750,7.0,4,1,1,2,../../media/images/wine/01140.jpg,2
141,"르 꼰떼쎄, 피노 3 스푸만테 퀴베 브뤼","Le Contesse, Pinot Rose Spumante Cuvee Brut",4,750,11.0,1,3,1,5,../../media/images/wine/01141.png,2
142,"르 꼰떼쎄, 스푸만테 퀴베 엑스트라 드라이","Le Contesse, Spumate Cuvee Extra Dry",4,750,13.0,1,4,1,4,../../media/images/wine/01142.png,2
143,"르 꼰떼쎄, 라보소 3 스푸만테 브뤼","Le Contesse, Raboso Rose Spumante Brut",4,750,13.0,1,4,1,1,../../media/images/wine/01143.jpg,2
144,"포지오 알 기우죠, 볼타치노 비앙코","Poggio al Chiuso, Voltaccino Bianco",2,750,13.0,1,3,1,1,../../media/images/wine/01144.jpg,2
145,"포지오 알 기우죠, 볼타치노 로쏘 토스카나","Poggio al Chiuso, Voltaccino Rosso Toscana",1,750,14.0,1,3,3,2,../../media/images/wine/01145.jpg,2
146,"까디 라오, 모스카토","Ca'di Rajo, Moscato",2,750,7.0,4,2,1,2,../../media/images/wine/01146.jpg,2
147,"까디 라오, 프로세코 브뤼","Ca'di Rajo, Prosecco Brut",4,750,12.0,1,4,1,4,../../media/images/wine/01147.jpg,2
148,"까디 라오, 피노 그리지오","Ca'di Rajo, Pinot Grigio",2,750,13.0,1,3,1,2,../../media/images/wine/01148.png,2
149,"까디 라오, 트라미너","Ca'di Rajo, Traminer",2,750,13.0,1,3,1,5,../../media/images/wine/01149.png,2
150,"까디 라오, 카베르네 프랑","Ca'di Rajo, Cabernet Franc",1,750,13.0,1,4,4,1,../../media/images/wine/01150.png,2
151,"까디 라오, 카베르네 소비뇽","Ca'di Rajo, Cabernet Sauvignon",1,750,13.0,1,4,4,1,../../media/images/wine/01151.png,2
152,"마쩨이, 테라 마쩨이","Mazzei, Terra Mazzei",1,750,14.0,1,3,4,2,../../media/images/wine/01152.jpg,2
153,"아덴기, 발도미노 뀌베 브뤼","Ardenghi, Valdomino Cuvee Brut",4,750,12.0,1,3,1,2,../../media/images/wine/01153.jpg,2
154,"보시오, 트로피칼 모스카토 패션 후르츠","Bosio, Tropical Moscato Passion Fruit",2,750,5.5,4,2,1,1,../../media/images/wine/01154.jpg,2
155,"보시오, 트로피칼 모스카토 망고","Bosio, Tropical Moscato Mango",2,750,5.5,4,2,1,1,../../media/images/wine/01155.jpg,2
156,"카사 비앙카, 트레비아노 다브루쪼","Casabianca, Trebbiano d'Abruzzo",2,750,13.0,1,4,1,1,../../media/images/wine/01156.jpg,2
157,"카사비앙카, 몬테풀치아노 다브루쪼","Casabianca, Montepulciano d'Abruzzo",1,750,14.0,1,3,3,5,../../media/images/wine/01157.jpg,2
158,치엘로 나인 프리잔테 로사토,Cielo 9 Frizzante Rosato,4,750,9.0,2,3,1,1,../../media/images/wine/01158.jpg,2
159,치엘로 나인 프리잔테 비앙코,Cielo 9 Frizzante Bianco,4,750,9.0,1,3,1,1,../../media/images/wine/01159.jpg,2
160,피플,People,2,750,13.0,2,3,1,5,../../media/images/wine/01160.jpg,2
161,"발레벨보, 핑크 모스카토 스푸만테","Vallebelbo, Pink Moscato Spumante",4,750,7.0,4,2,1,2,../../media/images/wine/01161.jpg,2
162,"레 모레, 스위트 2","Le Morre, Sweet White",4,750,6.0,4,1,1,1,../../media/images/wine/01162.jpg,2
163,마쏘 안티코 프리미티보,Masso Antico Primitivo,1,750,15.0,2,2,3,3,../../media/images/wine/01163.jpg,2
164,"우마니 론끼, 요리오 S","Umani Ronchi, Jorio S",1,750,13.5,1,4,3,1,../../media/images/wine/01164.jpg,2
165,까잘리 델 바로네 150 + 1 피에몬테 바르베라,Casali del Barone 150 + 1 Piemonte Barbera,1,750,14.0,1,4,2,2,../../media/images/wine/01165.jpg,2
166,"두카 디 사락냐노, 떼레 시칠리아네","Duca di Saragnano, Terre Siciliane",1,750,15.0,1,3,3,2,../../media/images/wine/01166.png,2
167,"고젤리노 비니, 브릭 다 루 모스카토 다스티","Gozzelino Vini, Bric da Lu Moscato d'Asti",2,750,5.5,4,2,1,3,../../media/images/wine/01167.png,2
168,"페우디, 프리미티보 디 만두리아","Feudi, Primitivo di Manduria",1,750,14.5,1,3,3,2,../../media/images/wine/01168.png,2
169,"페우디, 라크리마 크리스티 비앙코","Feudi, Lacryma Christi del Vesuvio Bianco",2,750,12.6,1,3,1,4,../../media/images/wine/01169.png,2
170,"페우디, 라크리마 크리스티 로쏘","Feudi, Lacryma Christi Rosso",1,750,13.4,1,3,3,4,../../media/images/wine/01170.png,2
171,"지오그라피코, 파보 네로","Geografico, Pavo Nero",1,750,15.0,1,3,4,1,../../media/images/wine/01171.jpg,2
172,"미켈레 끼아를로, 루나 모스카토 다스티","Michele Chiarlo, Luna Moscato d'Asti",2,750,6.0,4,2,1,2,../../media/images/wine/01172.png,2
173,"만텔라시, 일 카네토","Mantellassi, Il Canneto",1,750,14.0,1,3,3,1,../../media/images/wine/01173.png,2
174,"만텔라시, 사쏘 비앙코","Mantellassi, Sasso Bianco",2,750,13.0,1,3,1,1,../../media/images/wine/01174.png,2
175,"만텔라시, 마에스트랄레","Mantellassi, Maestrale",1,750,14.0,1,3,3,1,../../media/images/wine/01175.png,2
176,"꽁까 도로, 스푸만떼 돌체 벨레노 모스카토/라보소 드미 섹","Conca d,oro, Spumante Dolce Veleno Moscasto/Raboso Demi Sec",4,750,11.0,4,2,1,5,../../media/images/wine/01176.jpg,2
177,"꽁까 도로, 프로세코 뀌베 노빌레 브뤼","Conca d'oro, Prosecco Cuvee Nobile Brut",4,750,12.0,1,3,1,1,../../media/images/wine/01177.jpg,2
178,"꽁까 도로, 프로세코 뀌베 오로 엑스트라 드라이 밀레시마또","Conca d'Oro, Prosecco Cuvee Oro Extra Dry Millesimato",4,750,11.5,1,3,1,3,../../media/images/wine/01178.jpg,2
179,"그라치아노 델라 세타, 로쏘 디 몬테풀치아노","Gracciano Della Seta, Rosso di Motepulciano",1,750,14.0,1,3,3,1,../../media/images/wine/01179.jpg,2
180,"자카니니, 크리스탈 트위그 트레비아노 다부르쪼","Zaccagnini, Crystal Twig Trebbiano d'Aburzzo",2,750,12.0,1,4,1,1,../../media/images/wine/01180.jpg,2
181,"칸티나 테를란, 뮐러 투르가우","Cantina Terlan, Müller Thurgau",2,750,12.5,1,3,1,4,../../media/images/wine/01181.jpg,2
182,"칸티나 테를란, 게뷔르츠트라미너","Cantina Terlan, Gewurztraminer",2,750,14.0,1,3,1,2,../../media/images/wine/01182.jpg,2
183,"칸티나 테를란, 피노 비앙코","Cantina Terlan, Pinot Bianco",2,750,13.0,1,3,1,5,../../media/images/wine/01183.jpg,2
184,"룽가로티, 루","Lungarotti, L'U",1,750,14.0,1,3,2,4,../../media/images/wine/01184.jpg,2
185,"테사리, 그리셀라 소아베 클라시코","Tessari, Grisela Soave Classico",2,750,13.0,1,4,1,1,../../media/images/wine/01185.jpg,2
186,콜리 페사레시 산지오베제,Colli Pesaresi Sangiovese,1,750,13.0,1,3,2,1,../../media/images/wine/01186.jpg,2
187,비앙켈로 델 메타우로,Bianchello del Metauro,2,750,12.0,1,3,1,1,../../media/images/wine/01187.jpg,2
188,"아카데미아, 리몬첼로","Accademia, Limoncello",5,750,30.0,4,2,1,2,../../media/images/wine/01188.jpg,2
189,"지오그라피코, 보스코 델 그릴로 고베르노","Geografico, Bosco del Grillo Governo",1,750,14.0,1,3,3,1,../../media/images/wine/01189.png,2
