sell_id,store_id,wine_id,sell_reg_time,sell_price,sell_promot,sell_state
82,1,485,2023-07-20 13:20:35,33000,wine number 82,1
83,1,486,2023-07-20 13:20:35,23000,wine number 83,1
84,1,499,2023-07-20 13:20:35,23000,wine number 84,1
85,1,510,2023-07-20 13:20:35,20000,wine number 85,1
86,1,521,2023-07-20 13:20:35,33000,wine number 86,1
87,1,541,2023-07-20 13:20:35,35000,wine number 87,1
88,1,545,2023-07-20 13:20:35,22000,wine number 88,1
89,1,550,2023-07-20 13:20:35,33000,wine number 89,1
90,1,559,2023-07-20 13:20:35,28000,wine number 90,1
91,1,577,2023-07-20 13:20:35,28000,wine number 91,1
92,1,579,2023-07-20 13:20:35,28000,wine number 92,1
93,1,587,2023-07-20 13:20:35,28000,wine number 93,1
94,1,589,2023-07-20 13:20:35,25000,wine number 94,1
95,1,590,2023-07-20 13:20:35,32000,wine number 95,1
96,1,594,2023-07-20 13:20:35,35000,wine number 96,1
97,1,606,2023-07-20 13:20:35,33000,wine number 97,1
98,1,613,2023-07-20 13:20:35,27000,wine number 98,1
99,1,615,2023-07-20 13:20:35,30000,wine number 99,1
100,1,621,2023-07-20 13:20:35,30000,wine number 100,1
101,1,622,2023-07-20 13:20:35,23000,wine number 101,1
102,1,626,2023-07-20 13:20:35,25000,wine number 102,1
103,1,631,2023-07-20 13:20:35,23000,wine number 103,1
104,1,634,2023-07-20 13:20:35,35000,wine number 104,1
105,1,635,2023-07-20 13:20:35,20000,wine number 105,1
106,1,638,2023-07-20 13:20:35,22000,wine number 106,1
107,1,639,2023-07-20 13:20:35,33000,wine number 107,1
108,1,642,2023-07-20 13:20:35,23000,wine number 108,1
109,1,643,2023-07-20 13:20:35,27000,wine number 109,1
110,1,646,2023-07-20 13:20:35,28000,wine number 110,1
111,1,661,2023-07-20 13:20:35,18000,wine number 111,1
112,1,665,2023-07-20 13:20:35,30000,wine number 112,1
113,1,666,2023-07-20 13:20:35,32000,wine number 113,1
114,1,670,2023-07-20 13:20:35,18000,wine number 114,1
115,1,675,2023-07-20 13:20:35,37000,wine number 115,1
116,1,685,2023-07-20 13:20:35,30000,wine number 116,1
117,1,686,2023-07-20 13:20:35,18000,wine number 117,1
118,1,690,2023-07-20 13:20:35,35000,wine number 118,1
119,1,705,2023-07-20 13:20:35,30000,wine number 119,1
120,1,710,2023-07-20 13:20:35,32000,wine number 120,1
121,1,714,2023-07-20 13:20:35,37000,wine number 121,1
122,1,719,2023-07-20 13:20:35,33000,wine number 122,1
123,1,730,2023-07-20 13:20:35,33000,wine number 123,1
124,1,733,2023-07-20 13:20:35,28000,wine number 124,1
125,1,737,2023-07-20 13:20:35,32000,wine number 125,1
126,1,742,2023-07-20 13:20:35,30000,wine number 126,1
127,1,751,2023-07-20 13:20:35,23000,wine number 127,1
128,1,753,2023-07-20 13:20:35,18000,wine number 128,1
129,1,754,2023-07-20 13:20:35,22000,wine number 129,1
130,1,761,2023-07-20 13:20:35,30000,wine number 130,1
131,1,762,2023-07-20 13:20:35,22000,wine number 131,1
132,1,763,2023-07-20 13:20:35,23000,wine number 132,1
133,1,777,2023-07-20 13:20:35,35000,wine number 133,1
134,1,781,2023-07-20 13:20:35,23000,wine number 134,1
135,1,783,2023-07-20 13:20:35,23000,wine number 135,1
136,1,785,2023-07-20 13:20:35,30000,wine number 136,1
137,1,794,2023-07-20 13:20:35,27000,wine number 137,1
138,1,795,2023-07-20 13:20:35,30000,wine number 138,1
139,1,798,2023-07-20 13:20:35,20000,wine number 139,1
140,1,806,2023-07-20 13:20:35,27000,wine number 140,1
141,1,807,2023-07-20 13:20:35,18000,wine number 141,1
142,1,811,2023-07-20 13:20:35,37000,wine number 142,1
143,1,813,2023-07-20 13:20:35,23000,wine number 143,1
144,1,815,2023-07-20 13:20:35,33000,wine number 144,1
145,1,838,2023-07-20 13:20:35,25000,wine number 145,1
146,1,842,2023-07-20 13:20:35,23000,wine number 146,1
147,1,858,2023-07-20 13:20:35,23000,wine number 147,1
148,1,862,2023-07-20 13:20:35,35000,wine number 148,1
149,1,869,2023-07-20 13:20:35,27000,wine number 149,1
150,1,879,2023-07-20 13:20:35,27000,wine number 150,1
151,1,883,2023-07-20 13:20:35,25000,wine number 151,1
152,1,886,2023-07-20 13:20:35,27000,wine number 152,1
153,1,889,2023-07-20 13:20:35,25000,wine number 153,1
154,1,898,2023-07-20 13:20:35,23000,wine number 154,1
155,1,902,2023-07-20 13:20:35,33000,wine number 155,1
156,1,909,2023-07-20 13:20:35,25000,wine number 156,1
157,1,917,2023-07-20 13:20:35,37000,wine number 157,1
158,1,926,2023-07-20 13:20:35,28000,wine number 158,1
159,1,934,2023-07-20 13:20:35,23000,wine number 159,1
160,1,937,2023-07-20 13:20:35,28000,wine number 160,1
161,1,938,2023-07-20 13:20:35,23000,wine number 161,1
162,1,951,2023-07-20 13:20:35,23000,wine number 162,1
163,1,954,2023-07-20 13:20:35,33000,wine number 163,1
164,1,957,2023-07-20 13:20:35,35000,wine number 164,1
165,1,961,2023-07-20 13:20:35,20000,wine number 165,1
166,1,979,2023-07-20 13:20:35,27000,wine number 166,1
167,1,987,2023-07-20 13:20:35,32000,wine number 167,1
168,1,994,2023-07-20 13:20:35,18000,wine number 168,1
169,1,997,2023-07-20 13:20:35,37000,wine number 169,1
170,1,999,2023-07-20 13:20:35,25000,wine number 170,1
171,1,1009,2023-07-20 13:20:35,37000,wine number 171,1
172,1,1010,2023-07-20 13:20:35,28000,wine number 172,1
173,1,1011,2023-07-20 13:20:35,35000,wine number 173,1
174,1,1013,2023-07-20 13:20:35,32000,wine number 174,1
175,1,1017,2023-07-20 13:20:35,37000,wine number 175,1
176,1,1019,2023-07-20 13:20:35,32000,wine number 176,1
177,1,1023,2023-07-20 13:20:35,37000,wine number 177,1
178,1,1025,2023-07-20 13:20:35,20000,wine number 178,1
179,1,1029,2023-07-20 13:20:35,37000,wine number 179,1
180,1,1035,2023-07-20 13:20:35,30000,wine number 180,1
181,1,1043,2023-07-20 13:20:35,20000,wine number 181,1
182,1,1055,2023-07-20 13:20:35,20000,wine number 182,1
183,1,1073,2023-07-20 13:20:35,25000,wine number 183,1
184,1,1077,2023-07-20 13:20:35,23000,wine number 184,1
185,1,1079,2023-07-20 13:20:35,23000,wine number 185,1
186,1,1081,2023-07-20 13:20:35,23000,wine number 186,1
187,1,1090,2023-07-20 13:20:35,27000,wine number 187,1
188,1,1099,2023-07-20 13:20:35,22000,wine number 188,1
189,1,1106,2023-07-20 13:20:35,27000,wine number 189,1
190,1,1107,2023-07-20 13:20:35,32000,wine number 190,1
191,1,1158,2023-07-20 13:20:35,22000,wine number 191,1
192,1,1161,2023-07-20 13:20:35,35000,wine number 192,1
193,1,1163,2023-07-20 13:20:35,37000,wine number 193,1
194,1,1175,2023-07-20 13:20:35,27000,wine number 194,1
195,1,1177,2023-07-20 13:20:35,35000,wine number 195,1
196,1,1187,2023-07-20 13:20:35,25000,wine number 196,1
197,1,1189,2023-07-20 13:20:35,27000,wine number 197,1
198,1,1201,2023-07-20 13:20:35,25000,wine number 198,1
199,1,1203,2023-07-20 13:20:35,25000,wine number 199,1
200,1,1211,2023-07-20 13:20:35,35000,wine number 200,1
201,1,1219,2023-07-20 13:20:35,20000,wine number 201,1
202,1,1225,2023-07-20 13:20:35,25000,wine number 202,1
203,1,1226,2023-07-20 13:20:35,28000,wine number 203,1
204,1,1231,2023-07-20 13:20:35,20000,wine number 204,1
205,1,1245,2023-07-20 13:20:35,33000,wine number 205,1
206,1,1262,2023-07-20 13:20:35,35000,wine number 206,1
207,1,1269,2023-07-20 13:20:35,25000,wine number 207,1
208,1,1271,2023-07-20 13:20:35,20000,wine number 208,1
209,1,1281,2023-07-20 13:20:35,20000,wine number 209,1
210,1,1282,2023-07-20 13:20:35,27000,wine number 210,1
211,1,1283,2023-07-20 13:20:35,33000,wine number 211,1
212,1,1293,2023-07-20 13:20:35,37000,wine number 212,1
213,1,1297,2023-07-20 13:20:35,22000,wine number 213,1
214,1,1301,2023-07-20 13:20:35,20000,wine number 214,1
215,1,1309,2023-07-20 13:20:35,25000,wine number 215,1
216,1,1319,2023-07-20 13:20:35,37000,wine number 216,1
217,1,1330,2023-07-20 13:20:35,35000,wine number 217,1
218,1,1334,2023-07-20 13:20:35,22000,wine number 218,1
219,1,1339,2023-07-20 13:20:35,27000,wine number 219,1
220,1,1341,2023-07-20 13:20:35,20000,wine number 220,1
221,1,1355,2023-07-20 13:20:35,28000,wine number 221,1
222,1,1358,2023-07-20 13:20:35,33000,wine number 222,1
223,1,1381,2023-07-20 13:20:35,27000,wine number 223,1
224,1,1386,2023-07-20 13:20:35,32000,wine number 224,1
225,1,1387,2023-07-20 13:20:35,28000,wine number 225,1
226,2,2,2023-07-20 13:20:35,32000,wine number 226,1
227,2,6,2023-07-20 13:20:35,27000,wine number 227,1
228,2,9,2023-07-20 13:20:35,32000,wine number 228,1
229,2,10,2023-07-20 13:20:35,22000,wine number 229,1
230,2,11,2023-07-20 13:20:35,27000,wine number 230,1
231,2,22,2023-07-20 13:20:35,20000,wine number 231,1
232,2,25,2023-07-20 13:20:35,23000,wine number 232,1
233,2,26,2023-07-20 13:20:35,27000,wine number 233,1
234,2,27,2023-07-20 13:20:35,20000,wine number 234,1
235,2,49,2023-07-20 13:20:35,20000,wine number 235,1
236,2,50,2023-07-20 13:20:35,27000,wine number 236,1
237,2,62,2023-07-20 13:20:35,35000,wine number 237,1
238,2,63,2023-07-20 13:20:35,30000,wine number 238,1
239,2,67,2023-07-20 13:20:35,20000,wine number 239,1
240,2,82,2023-07-20 13:20:35,33000,wine number 240,1
241,2,94,2023-07-20 13:20:35,35000,wine number 241,1
242,2,101,2023-07-20 13:20:35,37000,wine number 242,1
243,2,106,2023-07-20 13:20:35,35000,wine number 243,1
244,2,114,2023-07-20 13:20:35,32000,wine number 244,1
245,2,121,2023-07-20 13:20:35,37000,wine number 245,1
246,2,130,2023-07-20 13:20:35,23000,wine number 246,1
247,2,135,2023-07-20 13:20:35,20000,wine number 247,1
248,2,142,2023-07-20 13:20:35,22000,wine number 248,1
249,2,150,2023-07-20 13:20:35,37000,wine number 249,1
250,2,154,2023-07-20 13:20:35,20000,wine number 250,1
251,2,162,2023-07-20 13:20:35,32000,wine number 251,1
252,2,167,2023-07-20 13:20:35,22000,wine number 252,1
253,2,169,2023-07-20 13:20:35,32000,wine number 253,1
254,2,175,2023-07-20 13:20:35,20000,wine number 254,1
255,2,179,2023-07-20 13:20:35,33000,wine number 255,1
256,2,187,2023-07-20 13:20:35,20000,wine number 256,1
257,2,193,2023-07-20 13:20:35,22000,wine number 257,1
258,2,195,2023-07-20 13:20:35,22000,wine number 258,1
259,2,202,2023-07-20 13:20:35,30000,wine number 259,1
260,2,214,2023-07-20 13:20:35,33000,wine number 260,1
261,2,225,2023-07-20 13:20:35,33000,wine number 261,1
262,2,226,2023-07-20 13:20:35,30000,wine number 262,1
263,2,231,2023-07-20 13:20:35,25000,wine number 263,1
264,2,235,2023-07-20 13:20:35,33000,wine number 264,1
265,2,237,2023-07-20 13:20:35,30000,wine number 265,1
266,2,247,2023-07-20 13:20:35,22000,wine number 266,1
267,2,255,2023-07-20 13:20:35,33000,wine number 267,1
268,2,259,2023-07-20 13:20:35,37000,wine number 268,1
269,2,261,2023-07-20 13:20:35,23000,wine number 269,1
270,2,275,2023-07-20 13:20:35,25000,wine number 270,1
271,2,279,2023-07-20 13:20:35,25000,wine number 271,1
272,2,282,2023-07-20 13:20:35,27000,wine number 272,1
273,2,285,2023-07-20 13:20:35,30000,wine number 273,1
274,2,286,2023-07-20 13:20:35,28000,wine number 274,1
275,2,298,2023-07-20 13:20:35,22000,wine number 275,1
276,2,309,2023-07-20 13:20:35,22000,wine number 276,1
277,2,310,2023-07-20 13:20:35,35000,wine number 277,1
278,2,311,2023-07-20 13:20:35,30000,wine number 278,1
279,2,321,2023-07-20 13:20:35,20000,wine number 279,1
280,2,323,2023-07-20 13:20:35,32000,wine number 280,1
281,2,329,2023-07-20 13:20:35,22000,wine number 281,1
282,2,333,2023-07-20 13:20:35,37000,wine number 282,1
283,2,335,2023-07-20 13:20:35,20000,wine number 283,1
284,2,347,2023-07-20 13:20:35,32000,wine number 284,1
285,2,350,2023-07-20 13:20:35,33000,wine number 285,1
286,2,359,2023-07-20 13:20:35,28000,wine number 286,1
287,2,362,2023-07-20 13:20:35,23000,wine number 287,1
288,2,363,2023-07-20 13:20:35,20000,wine number 288,1
289,2,365,2023-07-20 13:20:35,33000,wine number 289,1
290,2,370,2023-07-20 13:20:35,25000,wine number 290,1
291,2,371,2023-07-20 13:20:35,18000,wine number 291,1
292,2,374,2023-07-20 13:20:35,32000,wine number 292,1
293,2,383,2023-07-20 13:20:35,33000,wine number 293,1
294,2,386,2023-07-20 13:20:35,22000,wine number 294,1
295,2,395,2023-07-20 13:20:35,32000,wine number 295,1
296,2,398,2023-07-20 13:20:35,18000,wine number 296,1
297,2,405,2023-07-20 13:20:35,20000,wine number 297,1
298,2,413,2023-07-20 13:20:35,32000,wine number 298,1
299,2,422,2023-07-20 13:20:35,33000,wine number 299,1
300,2,433,2023-07-20 13:20:35,18000,wine number 300,1
301,2,438,2023-07-20 13:20:35,27000,wine number 301,1
302,2,458,2023-07-20 13:20:35,23000,wine number 302,1
303,2,482,2023-07-20 13:20:35,25000,wine number 303,1
304,2,485,2023-07-20 13:20:35,28000,wine number 304,1
305,2,502,2023-07-20 13:20:35,28000,wine number 305,1
306,2,511,2023-07-20 13:20:35,18000,wine number 306,1
307,2,513,2023-07-20 13:20:35,30000,wine number 307,1
308,2,514,2023-07-20 13:20:35,33000,wine number 308,1
309,2,521,2023-07-20 13:20:35,23000,wine number 309,1
310,2,529,2023-07-20 13:20:35,32000,wine number 310,1
311,2,549,2023-07-20 13:20:35,28000,wine number 311,1
312,2,553,2023-07-20 13:20:35,35000,wine number 312,1
313,2,561,2023-07-20 13:20:35,32000,wine number 313,1
314,2,567,2023-07-20 13:20:35,37000,wine number 314,1
315,2,570,2023-07-20 13:20:35,33000,wine number 315,1
316,2,579,2023-07-20 13:20:35,30000,wine number 316,1
317,2,610,2023-07-20 13:20:35,27000,wine number 317,1
318,2,613,2023-07-20 13:20:35,30000,wine number 318,1
319,2,617,2023-07-20 13:20:35,37000,wine number 319,1
320,2,625,2023-07-20 13:20:35,33000,wine number 320,1
321,2,627,2023-07-20 13:20:35,20000,wine number 321,1
322,2,629,2023-07-20 13:20:35,27000,wine number 322,1
323,2,630,2023-07-20 13:20:35,37000,wine number 323,1
324,2,633,2023-07-20 13:20:35,27000,wine number 324,1
325,2,641,2023-07-20 13:20:35,23000,wine number 325,1
326,2,645,2023-07-20 13:20:35,37000,wine number 326,1
327,2,649,2023-07-20 13:20:35,27000,wine number 327,1
328,2,669,2023-07-20 13:20:35,28000,wine number 328,1
329,2,670,2023-07-20 13:20:35,28000,wine number 329,1
330,2,671,2023-07-20 13:20:35,33000,wine number 330,1
331,2,673,2023-07-20 13:20:35,22000,wine number 331,1
332,2,674,2023-07-20 13:20:35,28000,wine number 332,1
333,2,679,2023-07-20 13:20:35,33000,wine number 333,1
334,2,681,2023-07-20 13:20:35,25000,wine number 334,1
335,2,689,2023-07-20 13:20:35,22000,wine number 335,1
336,2,691,2023-07-20 13:20:35,28000,wine number 336,1
337,2,694,2023-07-20 13:20:35,30000,wine number 337,1
338,2,702,2023-07-20 13:20:35,33000,wine number 338,1
339,2,703,2023-07-20 13:20:35,35000,wine number 339,1
340,2,707,2023-07-20 13:20:35,37000,wine number 340,1
341,2,714,2023-07-20 13:20:35,32000,wine number 341,1
342,2,717,2023-07-20 13:20:35,30000,wine number 342,1
343,2,722,2023-07-20 13:20:35,25000,wine number 343,1
344,2,737,2023-07-20 13:20:35,32000,wine number 344,1
345,2,749,2023-07-20 13:20:35,20000,wine number 345,1
346,2,751,2023-07-20 13:20:35,32000,wine number 346,1
347,2,757,2023-07-20 13:20:35,23000,wine number 347,1
348,2,763,2023-07-20 13:20:35,28000,wine number 348,1
349,2,765,2023-07-20 13:20:35,37000,wine number 349,1
350,2,773,2023-07-20 13:20:35,37000,wine number 350,1
351,2,775,2023-07-20 13:20:35,32000,wine number 351,1
352,2,777,2023-07-20 13:20:35,37000,wine number 352,1
353,2,779,2023-07-20 13:20:35,33000,wine number 353,1
354,2,781,2023-07-20 13:20:35,27000,wine number 354,1
355,2,787,2023-07-20 13:20:35,37000,wine number 355,1
356,2,795,2023-07-20 13:20:35,18000,wine number 356,1
357,2,797,2023-07-20 13:20:35,35000,wine number 357,1
358,2,801,2023-07-20 13:20:35,37000,wine number 358,1
359,2,819,2023-07-20 13:20:35,20000,wine number 359,1
360,2,827,2023-07-20 13:20:35,23000,wine number 360,1
361,2,837,2023-07-20 13:20:35,30000,wine number 361,1
362,2,841,2023-07-20 13:20:35,22000,wine number 362,1
363,2,846,2023-07-20 13:20:35,28000,wine number 363,1
364,2,849,2023-07-20 13:20:35,23000,wine number 364,1
365,2,850,2023-07-20 13:20:35,20000,wine number 365,1
366,2,854,2023-07-20 13:20:35,28000,wine number 366,1
367,2,865,2023-07-20 13:20:35,20000,wine number 367,1
368,2,867,2023-07-20 13:20:35,25000,wine number 368,1
369,2,871,2023-07-20 13:20:35,25000,wine number 369,1
370,2,881,2023-07-20 13:20:35,28000,wine number 370,1
371,2,901,2023-07-20 13:20:35,18000,wine number 371,1
372,2,915,2023-07-20 13:20:35,35000,wine number 372,1
373,2,923,2023-07-20 13:20:35,27000,wine number 373,1
374,2,927,2023-07-20 13:20:35,23000,wine number 374,1
375,2,942,2023-07-20 13:20:35,23000,wine number 375,1
376,2,945,2023-07-20 13:20:35,22000,wine number 376,1
377,2,946,2023-07-20 13:20:35,23000,wine number 377,1
378,2,947,2023-07-20 13:20:35,30000,wine number 378,1
379,2,969,2023-07-20 13:20:35,37000,wine number 379,1
380,2,977,2023-07-20 13:20:35,28000,wine number 380,1
381,2,979,2023-07-20 13:20:35,22000,wine number 381,1
382,2,981,2023-07-20 13:20:35,35000,wine number 382,1
383,2,986,2023-07-20 13:20:35,37000,wine number 383,1
384,2,991,2023-07-20 13:20:35,23000,wine number 384,1
385,2,1015,2023-07-20 13:20:35,28000,wine number 385,1
386,2,1018,2023-07-20 13:20:35,37000,wine number 386,1
387,2,1022,2023-07-20 13:20:35,37000,wine number 387,1
388,2,1030,2023-07-20 13:20:35,37000,wine number 388,1
389,2,1051,2023-07-20 13:20:35,27000,wine number 389,1
390,2,1067,2023-07-20 13:20:35,18000,wine number 390,1
391,2,1070,2023-07-20 13:20:35,30000,wine number 391,1
392,2,1093,2023-07-20 13:20:35,23000,wine number 392,1
393,2,1094,2023-07-20 13:20:35,27000,wine number 393,1
394,2,1099,2023-07-20 13:20:35,18000,wine number 394,1
395,2,1101,2023-07-20 13:20:35,30000,wine number 395,1
396,2,1103,2023-07-20 13:20:35,18000,wine number 396,1
397,2,1109,2023-07-20 13:20:35,27000,wine number 397,1
398,2,1113,2023-07-20 13:20:35,25000,wine number 398,1
399,2,1117,2023-07-20 13:20:35,37000,wine number 399,1
400,2,1118,2023-07-20 13:20:35,33000,wine number 400,1
401,2,1129,2023-07-20 13:20:35,20000,wine number 401,1
402,2,1130,2023-07-20 13:20:35,27000,wine number 402,1
403,2,1135,2023-07-20 13:20:35,28000,wine number 403,1
404,2,1142,2023-07-20 13:20:35,25000,wine number 404,1
405,2,1161,2023-07-20 13:20:35,22000,wine number 405,1
406,2,1165,2023-07-20 13:20:35,30000,wine number 406,1
407,2,1173,2023-07-20 13:20:35,37000,wine number 407,1
408,2,1177,2023-07-20 13:20:35,37000,wine number 408,1
409,2,1181,2023-07-20 13:20:35,32000,wine number 409,1
410,2,1186,2023-07-20 13:20:35,33000,wine number 410,1
411,2,1191,2023-07-20 13:20:35,33000,wine number 411,1
412,2,1199,2023-07-20 13:20:35,37000,wine number 412,1
413,2,1207,2023-07-20 13:20:35,23000,wine number 413,1
414,2,1209,2023-07-20 13:20:35,20000,wine number 414,1
415,2,1210,2023-07-20 13:20:35,32000,wine number 415,1
416,2,1211,2023-07-20 13:20:35,23000,wine number 416,1
417,2,1213,2023-07-20 13:20:35,30000,wine number 417,1
418,2,1214,2023-07-20 13:20:35,28000,wine number 418,1
419,2,1215,2023-07-20 13:20:35,23000,wine number 419,1
420,2,1222,2023-07-20 13:20:35,30000,wine number 420,1
421,2,1227,2023-07-20 13:20:35,18000,wine number 421,1
422,2,1229,2023-07-20 13:20:35,30000,wine number 422,1
423,2,1241,2023-07-20 13:20:35,30000,wine number 423,1
424,2,1253,2023-07-20 13:20:35,23000,wine number 424,1
425,2,1255,2023-07-20 13:20:35,33000,wine number 425,1
426,2,1265,2023-07-20 13:20:35,23000,wine number 426,1
427,2,1289,2023-07-20 13:20:35,27000,wine number 427,1
428,2,1295,2023-07-20 13:20:35,27000,wine number 428,1
429,2,1297,2023-07-20 13:20:35,35000,wine number 429,1
430,2,1299,2023-07-20 13:20:35,27000,wine number 430,1
431,2,1303,2023-07-20 13:20:35,27000,wine number 431,1
432,2,1310,2023-07-20 13:20:35,22000,wine number 432,1
433,2,1314,2023-07-20 13:20:35,28000,wine number 433,1
434,2,1317,2023-07-20 13:20:35,20000,wine number 434,1
435,2,1319,2023-07-20 13:20:35,25000,wine number 435,1
436,2,1323,2023-07-20 13:20:35,18000,wine number 436,1
437,2,1338,2023-07-20 13:20:35,35000,wine number 437,1
438,2,1347,2023-07-20 13:20:35,35000,wine number 438,1
439,2,1350,2023-07-20 13:20:35,23000,wine number 439,1
440,2,1354,2023-07-20 13:20:35,22000,wine number 440,1
441,2,1361,2023-07-20 13:20:35,18000,wine number 441,1
442,2,1383,2023-07-20 13:20:35,30000,wine number 442,1
443,2,1386,2023-07-20 13:20:35,35000,wine number 443,1
444,3,3,2023-07-20 13:20:35,35000,wine number 444,1
445,3,13,2023-07-20 13:20:35,27000,wine number 445,1
446,3,15,2023-07-20 13:20:35,28000,wine number 446,1
447,3,17,2023-07-20 13:20:35,27000,wine number 447,1
448,3,19,2023-07-20 13:20:35,22000,wine number 448,1
449,3,21,2023-07-20 13:20:35,35000,wine number 449,1
450,3,23,2023-07-20 13:20:35,30000,wine number 450,1
451,3,26,2023-07-20 13:20:35,25000,wine number 451,1
452,3,27,2023-07-20 13:20:35,30000,wine number 452,1
453,3,30,2023-07-20 13:20:35,22000,wine number 453,1
454,3,34,2023-07-20 13:20:35,37000,wine number 454,1
455,3,35,2023-07-20 13:20:35,30000,wine number 455,1
456,3,39,2023-07-20 13:20:35,20000,wine number 456,1
457,3,59,2023-07-20 13:20:35,22000,wine number 457,1
458,3,61,2023-07-20 13:20:35,37000,wine number 458,1
459,3,65,2023-07-20 13:20:35,18000,wine number 459,1
460,3,75,2023-07-20 13:20:35,32000,wine number 460,1
