fav_user_id,user_id,fav_wine_color,fav_alc,fav_numbwith,fav_sweet,fav_bitter,fav_sour,fav_season,fav_food,fav_first_priority,fav_second_priority,fav_third_priority
63,user087,1,3,3,5,1,4,2,4,4,1,2
64,user088,4,2,4,4,1,1,5,4,4,1,5
65,user089,5,2,5,5,3,1,4,5,6,4,2
66,user090,2,5,2,1,2,5,5,5,3,2,5
67,user091,4,2,4,2,5,2,3,4,4,6,1
68,user092,3,5,2,5,3,5,2,4,2,4,3
69,user094,4,3,1,2,1,5,4,3,3,6,1
70,user095,1,1,1,4,5,3,3,3,2,6,3
71,user096,5,5,5,5,4,5,1,2,3,3,5
72,user097,2,2,1,1,1,3,4,3,2,4,5
73,user098,4,5,2,3,5,1,3,1,4,4,6
74,user099,2,2,2,4,5,5,2,2,2,2,6
75,user100,1,2,3,4,2,4,4,5,2,1,2
76,user101,2,3,2,3,3,2,2,4,5,6,5
77,user102,5,4,3,2,2,3,3,4,6,2,6
78,user103,4,2,5,2,4,1,5,2,2,5,3
79,user104,2,1,2,5,3,2,3,2,1,6,4
80,user105,2,3,1,5,3,1,3,4,4,4,2
81,user106,5,5,2,1,3,2,4,2,2,4,4
82,user107,2,3,3,2,2,5,4,3,2,3,1
83,user108,4,3,4,4,5,3,2,3,4,1,2
84,user109,4,1,5,3,2,1,4,3,2,4,4
85,user110,3,5,3,2,4,2,5,3,5,2,4
86,user111,3,4,3,3,3,2,3,1,1,3,1
87,user113,4,4,2,1,5,5,5,5,6,6,5
88,user114,1,1,1,2,4,4,1,1,1,6,5
89,user115,1,4,4,4,3,1,5,1,1,5,6
90,user116,2,2,3,4,4,5,5,5,3,1,3
91,user117,4,1,3,4,5,3,3,4,5,5,5
92,user119,3,5,4,1,1,3,1,1,4,1,2
93,user120,4,2,5,3,1,3,2,3,5,4,2
94,user121,5,3,5,1,1,2,4,3,6,5,4
95,user122,2,3,1,1,3,5,3,2,6,5,5
96,user123,1,1,3,2,4,3,2,2,6,2,1
97,user125,5,4,5,2,1,3,1,5,5,5,3
98,user126,4,2,1,4,1,1,2,1,5,4,3
99,user127,1,5,3,3,4,3,1,3,1,3,6
100,user128,5,3,5,5,4,5,1,4,1,5,1
101,user129,5,3,1,2,2,1,3,5,6,1,1
102,user130,5,4,3,2,3,2,1,3,5,3,5
103,user131,3,3,4,3,1,5,1,1,6,4,6
104,user132,2,4,5,5,2,2,5,5,6,5,3
105,user134,3,4,5,3,3,3,1,2,1,5,2
106,user135,1,4,4,4,5,5,2,1,5,4,6
107,user136,1,5,2,5,1,2,2,2,3,3,3
108,user137,3,2,3,5,5,4,2,4,4,3,6
109,user138,1,4,3,4,2,4,2,5,2,4,6
110,user139,5,1,5,1,1,2,3,2,6,3,5
111,user140,3,3,5,4,4,3,5,2,5,2,2
112,user142,1,2,2,2,2,1,4,5,5,3,1
113,user143,2,1,2,1,4,5,4,1,3,1,5
114,user144,5,4,4,3,2,2,2,1,5,1,1
115,user145,1,1,3,3,3,3,5,1,4,5,2
116,user146,3,5,3,1,2,1,1,2,2,1,4
117,user147,4,4,4,2,4,1,4,3,6,3,2
118,user148,1,4,4,5,4,3,4,2,1,3,3
119,user149,2,5,3,3,1,5,1,4,2,5,4
120,user150,2,1,4,1,1,5,2,4,2,5,4
121,user151,4,3,1,3,3,4,5,4,1,4,3
122,user152,2,5,4,3,3,3,4,3,2,1,3
123,user153,4,3,4,2,5,4,1,1,6,4,5
124,user154,5,4,5,3,3,5,1,3,4,4,6
125,user155,4,4,5,1,4,5,4,2,2,4,3
126,user156,1,4,3,1,1,4,1,4,3,4,2
127,user157,1,3,1,5,2,2,3,3,1,3,6
128,user158,1,2,3,1,3,1,1,1,1,4,5
129,user159,1,5,1,5,2,1,2,2,5,3,2
130,user160,4,3,2,2,4,4,1,2,1,3,4
131,user161,1,5,2,4,4,5,3,4,6,6,3
132,user162,5,3,1,5,5,5,4,5,1,6,6
133,user163,2,1,4,5,2,4,2,5,5,5,4
134,user164,5,4,1,1,3,1,4,5,3,4,6
135,user165,4,2,4,4,5,4,4,5,4,5,2
136,user166,2,5,4,3,4,4,4,4,1,6,2
137,user167,2,1,2,5,2,1,1,5,1,5,5
138,user168,2,1,2,4,1,5,4,2,6,4,6
139,user169,3,2,3,4,3,4,1,1,1,2,2
140,user170,1,3,2,5,3,5,2,3,1,4,6
141,user171,3,2,3,2,3,5,1,4,3,2,4
142,user172,5,5,3,4,3,2,4,2,6,2,1
143,user173,1,4,4,4,5,4,2,3,1,2,5
144,user174,4,5,5,3,3,5,3,4,2,3,2
145,user175,5,2,1,4,2,5,3,1,3,2,2
146,user176,1,2,5,4,2,1,2,2,5,2,3
147,user177,3,5,1,2,4,3,5,2,2,3,5
148,user178,4,3,3,4,4,5,4,2,5,3,4
149,user179,1,1,3,5,3,2,5,2,6,4,3
150,user180,4,2,4,4,2,5,2,3,3,6,1
151,user181,3,3,1,5,4,1,2,3,6,6,2
152,user182,2,3,3,1,5,5,5,4,2,3,6
153,user183,2,2,5,4,3,3,2,3,3,4,1
154,user184,1,2,2,1,1,1,5,3,2,6,5
155,user185,5,3,4,5,4,3,4,4,4,1,3
156,user186,5,3,2,1,2,1,5,1,6,2,4
157,user187,3,2,1,4,5,4,5,5,3,2,2
158,user188,3,5,2,1,2,2,4,5,6,6,1
159,user189,2,4,3,1,1,5,4,2,5,6,4
160,user190,2,2,3,5,1,2,5,3,4,3,6
161,user191,3,5,3,2,3,2,1,2,2,3,4
162,user192,1,2,1,1,4,2,5,3,5,3,1
163,user193,4,2,2,2,1,4,5,5,1,5,5
164,user194,5,4,2,4,1,1,2,1,5,2,2
165,user195,5,3,1,3,3,1,2,3,5,6,4
166,user196,4,4,4,1,3,4,4,5,4,6,5
167,user197,2,4,3,3,5,1,3,4,6,1,4
168,user198,3,3,4,5,4,2,1,3,6,5,1
169,user199,2,2,3,5,3,4,2,4,4,3,3
170,user200,2,1,3,2,1,5,2,4,5,6,1
171,user201,1,5,5,3,4,5,1,5,1,4,1
172,user202,3,5,5,2,2,4,2,4,4,5,1
173,user203,2,5,2,1,4,5,3,5,6,4,5
174,user204,4,5,4,4,5,3,1,5,6,4,1
175,user205,5,1,1,3,2,1,1,5,4,6,3
176,user206,2,2,5,5,4,2,3,4,2,5,4
177,user207,4,2,2,3,4,3,1,2,4,2,4
178,user208,2,2,5,3,2,4,3,2,6,3,2
179,user209,3,2,3,5,5,2,5,3,3,5,3
180,user210,4,5,1,4,1,2,2,2,4,5,1
181,user211,5,3,4,5,1,5,5,2,4,4,5
182,user212,3,2,1,2,1,5,5,4,5,5,4
183,user213,3,5,3,3,4,3,4,1,1,4,2
184,user214,3,4,5,2,2,2,5,5,6,4,6
185,user215,4,2,5,4,3,4,1,5,5,5,3
186,user216,5,2,5,2,5,5,2,3,4,1,3
187,user217,4,5,3,1,4,4,5,1,2,1,6
188,user218,4,3,5,3,2,5,4,4,5,2,6
189,user219,1,4,2,1,3,5,2,4,6,5,6
190,user220,4,4,4,5,1,1,3,3,6,3,5
191,user221,5,3,1,2,3,1,1,3,5,6,3
192,user222,1,5,5,2,1,4,3,4,5,2,2
193,user223,1,5,3,4,2,3,3,4,1,1,5
194,user224,1,2,2,5,4,3,4,4,5,1,5
195,user225,3,2,5,3,4,5,3,5,3,4,5
196,user226,3,5,3,1,5,5,3,1,5,5,2
197,user227,3,5,1,5,1,2,2,3,4,3,5
198,user228,4,3,2,1,5,1,3,1,2,2,2
199,user229,4,5,4,1,1,4,1,1,1,6,2
200,user230,2,5,5,5,2,3,2,1,1,5,5
201,user231,5,4,2,2,5,1,5,3,2,2,2
202,user232,3,2,2,3,4,2,1,1,3,5,5
203,user233,5,3,2,1,5,3,2,4,3,1,2
204,user234,3,5,1,3,2,1,2,4,3,1,1
205,user235,2,2,4,3,2,4,1,5,4,3,5
206,user236,3,1,2,3,3,1,3,2,3,5,3
207,user237,3,3,2,2,2,3,4,1,5,6,6
208,user238,3,1,3,2,4,4,3,5,3,1,3
209,user239,1,5,2,2,5,5,4,2,4,6,6
210,user240,4,3,4,4,2,3,4,4,5,3,1
211,user241,5,3,5,3,3,4,5,3,1,6,4
212,user242,3,2,3,3,1,4,3,3,3,5,1
213,user243,5,1,3,1,5,3,1,1,1,3,4
214,user244,5,2,1,4,5,1,5,5,2,6,2
215,user245,2,4,5,3,4,1,5,2,2,1,3
216,user246,5,1,1,5,2,1,4,3,5,2,4
217,user247,4,2,4,1,2,1,5,5,5,1,3
218,user248,5,2,3,1,3,5,5,2,2,4,4
219,user249,1,4,2,4,3,2,2,1,4,5,3
220,user250,4,5,4,2,4,3,5,3,3,4,1
221,user251,1,1,3,3,2,4,5,4,1,5,5
222,user252,5,2,3,1,3,1,1,5,5,6,6
223,user253,4,3,2,5,5,2,5,1,4,2,2
224,user254,2,3,3,5,1,1,2,1,2,6,3
225,user255,2,4,1,4,2,2,3,4,3,4,6
226,user256,4,2,5,1,3,4,5,3,5,3,1
227,user257,3,4,4,4,4,5,5,1,3,5,3
228,user258,1,5,3,2,2,1,1,3,5,3,3
229,user259,3,1,1,4,5,2,5,1,5,1,5
230,user260,3,4,3,3,3,1,4,4,4,4,2
231,user261,3,5,4,1,2,5,4,5,4,6,5
232,user262,3,3,4,1,5,4,3,5,5,5,5
233,user263,1,4,5,5,4,3,3,1,3,2,5
234,user264,3,4,2,3,2,1,4,2,3,2,1
235,user265,5,3,3,5,2,4,1,1,2,4,1
236,user266,1,2,2,3,5,5,5,1,1,4,2
237,user267,2,1,3,4,1,3,2,2,3,1,1
238,user268,3,2,3,5,5,5,3,5,5,2,4
239,user269,1,4,2,5,3,2,1,4,3,2,4
240,user270,1,1,1,5,2,2,2,2,4,6,3
241,user271,1,2,2,4,1,2,5,3,1,6,5
242,user272,2,1,2,1,4,2,4,2,1,4,2
243,user273,1,2,5,4,4,1,4,2,5,4,4
244,user274,2,2,1,4,2,3,2,3,1,6,6
245,user275,4,1,1,4,1,1,1,1,1,5,2
246,user276,4,4,3,1,4,5,1,5,5,4,1
247,user277,4,5,3,1,3,1,3,1,1,6,2
248,user278,3,1,3,2,2,3,5,2,1,6,2
249,user279,5,5,1,4,2,5,5,3,1,4,4
250,user280,2,1,2,4,5,2,4,3,5,1,5
251,user281,4,3,1,1,3,2,2,5,2,1,4
252,user282,1,3,1,4,5,3,3,4,6,1,2
253,user283,2,1,1,4,2,5,2,5,5,6,4
254,user284,5,2,4,5,2,2,1,2,1,5,3
255,user285,1,1,2,2,5,5,1,1,6,2,4
256,user286,2,5,5,3,2,2,4,4,6,5,2
257,user287,1,3,2,2,5,1,3,3,6,2,1
258,user288,1,1,1,4,3,2,1,1,4,2,3
259,user289,3,2,2,3,4,4,2,4,2,1,2
260,user290,2,4,5,3,4,3,5,1,3,3,5
261,user291,4,4,3,2,3,5,5,2,3,2,1
262,user292,2,5,4,3,1,1,2,5,6,6,3
263,user293,3,2,5,2,4,3,2,1,1,4,3
264,user294,3,2,3,2,2,5,1,4,2,2,3
265,user295,4,4,5,2,5,4,2,3,5,6,6
266,user296,2,5,5,3,1,5,2,2,6,2,4
267,user297,4,2,3,3,5,1,3,4,1,5,6
268,user298,3,2,3,4,3,1,1,4,5,6,1
269,user299,4,2,3,3,5,2,3,4,1,4,2
270,user300,1,5,2,3,4,4,4,5,6,6,3
271,user301,4,1,4,4,4,5,2,4,4,2,1
272,user302,2,4,4,2,1,5,4,2,3,6,3
273,user303,1,4,1,5,2,5,1,4,6,6,2
274,user304,5,1,4,5,5,4,3,2,2,6,3
275,user305,5,3,2,5,3,4,1,4,6,6,1
276,user306,1,5,1,5,1,1,2,4,5,3,1
277,user307,3,2,4,4,2,1,4,5,2,4,2
278,user308,2,3,4,3,4,1,3,1,3,5,4
279,user309,2,4,4,5,1,5,4,4,2,3,6
280,user310,2,3,1,3,1,4,2,5,6,3,4
281,user311,1,1,4,3,1,3,4,5,1,2,5
282,user312,2,3,4,2,4,3,1,4,2,6,3
283,user313,2,2,2,4,3,3,2,5,1,1,4
284,user314,4,2,5,3,5,1,2,5,6,2,4
285,user315,2,4,1,3,3,5,2,2,2,2,6
286,user316,2,1,1,1,5,1,5,5,6,6,6
287,user317,5,2,5,3,3,5,1,3,2,5,5
288,user318,4,3,5,3,3,3,4,4,4,5,4
289,user319,2,5,5,1,4,4,1,4,6,2,4
290,user320,4,3,4,5,3,2,4,3,5,2,4
291,user321,2,2,1,2,1,1,4,3,2,3,1
292,user322,1,2,5,5,5,2,4,4,2,6,5
293,user323,5,5,5,4,2,3,3,2,2,1,5
294,user324,1,4,3,4,5,4,2,3,4,4,3
295,user325,5,3,3,5,5,5,4,3,2,1,3
296,user326,1,5,4,1,1,2,4,3,3,3,5
297,user327,2,2,2,5,3,2,1,4,3,1,2
298,user328,1,5,5,2,1,2,1,5,6,1,1
299,user329,4,3,2,5,5,5,5,1,5,4,4
300,user330,1,5,2,1,3,1,4,1,2,3,1
